% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:04
% Table:              Table 3 - Global Evaluation 3 (intopA(1))
% H_cone (m)             R_texture (m)            t (s)                    intopA(1) (m^2)
5.0E-6                   2.0E-5                   0                        1.000966532765833E-8
5.0E-6                   5.0E-5                   0                        1.0009790662728915E-8
5.0E-6                   8.0E-5                   0                        1.0009807026420979E-8
1.25E-5                  2.0E-5                   0                        1.005630078788023E-8
1.25E-5                  5.0E-5                   0                        1.006041882395613E-8
1.25E-5                  8.0E-5                   0                        1.0060983722308397E-8
2.0E-5                   2.0E-5                   0                        1.013011637920718E-8
2.0E-5                   5.0E-5                   0                        1.0151239559951127E-8
2.0E-5                   8.0E-5                   0                        1.0154687292624997E-8
2.75E-5                  2.0E-5                   0                        1.0219683452411022E-8
2.75E-5                  5.0E-5                   0                        1.027735500618978E-8
2.75E-5                  8.0E-5                   0                        1.0288673354352942E-8
3.5000000000000004E-5    2.0E-5                   0                        1.0318969573351296E-8
3.5000000000000004E-5    5.0E-5                   0                        1.0433212936895504E-8
3.5000000000000004E-5    8.0E-5                   0                        1.04599751446082E-8
