family,R,H,SA,V,n_t2000,n_t15000,n_t134900,n_eq,pct_eq_t15000,early_leadership_share,SA_V,L_c
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.907,0.0,20017.569,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9774,0.0,20069.7359,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.173,0.0,20127.8375,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.4487,0.0,20187.3314,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.7797,0.0,20247.6422,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9234,0.0,20023.7709,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.0478,0.0,20107.4793,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.2863,0.0,20215.1481,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.6582,0.0,20331.7423,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.0987,0.0326,20451.8507,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9712,0.0,20040.3144,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.1904,0.0,20165.3905,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.592,0.0,20345.4523,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.1045,0.0,20558.1568,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.7196,0.0727,20790.3451,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.2831,0.0,20151.4683,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.0437,0.0,20455.5295,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.9828,0.0,20848.2776,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,62.0634,0.0,21322.243,0.0
cone_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,63.2227,0.0627,21868.3133,0.0
cone_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.8694,0.0,20360.7597,0.0
cone_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,61.5568,0.0,21001.678,0.0
cone_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,63.4674,0.0,21768.2888,0.0
cone_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,65.4842,0.0,22666.1052,0.0
cone_recessed,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,67.4579,0.8321,23699.5697,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,58.9512,0.0,20082.4835,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.2038,0.0,20206.2676,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.6275,0.0,20330.1226,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.1834,0.0,20454.0526,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.7716,0.0,20578.0555,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.0272,0.0,20172.9218,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.4982,0.0,20432.8163,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.208,0.0,20693.3193,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,61.0424,0.0,20954.4419,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,61.8605,0.0326,21216.1839,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,59.2483,0.0,20378.1782,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,60.2241,0.0,20949.9368,0.0
cylinder_recessed,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,61.5439,0.0,21527.1507,0.0
