% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 09:03
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% H_cone (m)             R_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        1.0607535034964118E-6
5.0E-6                   2.0E-5                   1.1                      1.9670092726491404E-6
5.0E-6                   2.0E-5                   1.2000000000000002       1.980584671619824E-6
5.0E-6                   2.0E-5                   1.3                      1.9941087493410163E-6
5.0E-6                   2.0E-5                   1.4000000000000001       2.0075919398015855E-6
5.0E-6                   2.0E-5                   1.5                      2.02100876526663E-6
5.0E-6                   2.0E-5                   1.6                      2.0343876178407287E-6
5.0E-6                   2.0E-5                   1.7000000000000002       2.047731864996784E-6
5.0E-6                   2.0E-5                   1.8                      2.061022214869286E-6
5.0E-6                   2.0E-5                   1.9000000000000001       2.074222526357169E-6
5.0E-6                   2.0E-5                   2                        2.087391643671132E-6
5.0E-6                   2.0E-5                   5                        2.4638247694801203E-6
5.0E-6                   2.0E-5                   10                       3.0263476255710603E-6
5.0E-6                   2.0E-5                   100                      8.623874825310838E-6
5.0E-6                   2.0E-5                   100                      8.623874825310838E-6
5.0E-6                   2.0E-5                   200                      1.2244148203419106E-5
5.0E-6                   2.0E-5                   300                      1.5020526601601809E-5
5.0E-6                   2.0E-5                   400                      1.735412851039726E-5
5.0E-6                   2.0E-5                   500                      1.9406356419490442E-5
5.0E-6                   2.0E-5                   600                      2.1258057381611194E-5
5.0E-6                   2.0E-5                   700                      2.2972850332538984E-5
5.0E-6                   2.0E-5                   800                      2.4567658416520934E-5
