% Model:              C52_3D_base_unit_cell_recesses(squarerecesses).mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 8 2026, 22:36
% Table:              Table 1 - Global Evaluation 3 (n_CO2_film)
% Time (s)               Total moles of CO2 captured per unit cell (mol)
0                        0
0.1                      0
0.2                      0
0.30000000000000004      0
0.4                      0
0.5                      0
0.6000000000000001       0
0.7000000000000001       0
0.8                      0
0.9                      0
1                        3.2014319699231005E-6
1.1                      5.8963299178240485E-6
1.2000000000000002       5.907501301087063E-6
1.3                      5.918659834702865E-6
1.4000000000000001       5.92980752322095E-6
1.5                      5.940939351679087E-6
1.6                      5.952061692356255E-6
1.7000000000000002       5.963174549984804E-6
1.8                      5.974268686896274E-6
1.9000000000000001       5.985348540678127E-6
2                        5.996419244187108E-6
5                        6.322854738106454E-6
10                       6.8467019509395574E-6
100                      1.3785019912851837E-5
100                      1.3785019912851837E-5
200                      1.9029738403545387E-5
300                      2.3160193808751876E-5
400                      2.665556372281252E-5
500                      2.972611593045697E-5
600                      3.248716763495568E-5
700                      3.5011848045662374E-5
800                      3.7347151065577894E-5
900                      3.952836889709736E-5
1000                     4.15829029035287E-5
2000                     5.751643269304721E-5
3000                     6.820547981857065E-5
4000                     7.566781866935409E-5
5000                     8.09955950935504E-5
6000                     8.489600811218952E-5
7000                     8.780639365632388E-5
8000                     9.003609987894503E-5
9000                     9.175784571536797E-5
10000                    9.308907346084434E-5
20000                    9.723904144265067E-5
30000                    9.762613113866914E-5
40000                    9.765274655515508E-5
50000                    9.765124390326571E-5
60000                    9.764467313353115E-5
70000                    9.764192854915637E-5
80000                    9.764084935718146E-5
90000                    9.764041294775584E-5
100000                   9.764025628342036E-5
110000                   9.764017961208998E-5
120000                   9.7640137753756E-5
130000                   9.764011912896777E-5
140000                   9.764011061540332E-5
150000                   9.764010668442255E-5
160000                   9.764010474777737E-5
170000                   9.764010386753589E-5
180000                   9.764010344703991E-5
190000                   9.764010325463288E-5
200000                   9.764010316148999E-5
