% Model:              C52_3D_base_unit_cell_recesses(squarerecesses2x2) (3).mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 8 2026, 21:30
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% Time (s)               Total moles of CO2 captured per unit cell (mol)
0                        0
0.1                      0
0.2                      0
0.30000000000000004      0
0.4                      0
0.5                      0
0.6000000000000001       0
0.7000000000000001       0
0.8                      0
0.9                      0
1                        1.0562056689332412E-5
1.1                      1.9483350980346772E-5
1.2000000000000002       1.952017269088895E-5
1.3                      1.955694981926282E-5
1.4000000000000001       1.9593690192304954E-5
1.5                      1.9630374929273453E-5
1.6                      1.9667024321554617E-5
1.7000000000000002       1.9703640828365556E-5
1.8                      1.9740211884973658E-5
1.9000000000000001       1.9776710153698083E-5
2                        1.9813176831920914E-5
5                        2.08875939283442E-5
10                       2.260884697888168E-5
100                      4.518138470890917E-5
100                      4.518138470890917E-5
200                      6.214633801212564E-5
300                      7.548747163285653E-5
400                      8.67667011215514E-5
500                      9.666264548933824E-5
600                      1.0554440683193761E-4
700                      1.1366464813168205E-4
800                      1.211736147537846E-4
900                      1.2817949520110334E-4
1000                     1.3477255318154483E-4
2000                     1.8689691457772736E-4
3000                     2.2579807942104616E-4
4000                     2.5789780486103203E-4
5000                     2.857184124473149E-4
6000                     3.1046918563096954E-4
7000                     3.3280732058661873E-4
8000                     3.531241059307724E-4
9000                     3.716310079493529E-4
10000                    3.8855007407698374E-4
20000                    4.93802943053097E-4
30000                    5.31386697321708E-4
40000                    5.432772479415148E-4
50000                    5.473047269189563E-4
60000                    5.486659324712798E-4
70000                    5.489835424721811E-4
80000                    5.490112114978702E-4
90000                    5.490305183984876E-4
100000                   5.49037045372618E-4
110000                   5.490430977680281E-4
120000                   5.490450245031315E-4
130000                   5.490468196167291E-4
140000                   5.490474703009739E-4
150000                   5.490480760455706E-4
160000                   5.490482910295202E-4
170000                   5.490484911593985E-4
180000                   5.490485621277857E-4
190000                   5.490486281914684E-4
200000                   5.490486516067837E-4
