% Model:              C52_3D_base_unit_cell_recesses(squarerecesses6x6).mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 8 2026, 21:29
% Table:              Table 2 - Global Evaluation 2 (n_CO2_film)
% Time (s)               Total moles of CO2 captured per unit cell (mol)
0                        0
0.1                      0
0.2                      0
0.30000000000000004      0
0.4                      0
0.5                      0
0.6000000000000001       0
0.7000000000000001       0
0.8                      0
0.9                      0
1                        1.0501586983162423E-4
1.1                      1.922409401899453E-4
1.2000000000000002       1.926362125498937E-4
1.3                      1.9303094570191965E-4
1.4000000000000001       1.934251724538508E-4
1.5                      1.9381884674421238E-4
1.6                      1.942121270893972E-4
1.7000000000000002       1.9460488479920734E-4
1.8                      1.9499683270455165E-4
1.9000000000000001       1.9538840087132345E-4
2                        1.9577958951016197E-4
5                        2.0727887636319355E-4
10                       2.2561704947325327E-4
100                      4.5931259753855696E-4
100                      4.5931259753855696E-4
200                      6.316627288782566E-4
300                      7.671931549824893E-4
400                      8.82014707531599E-4
500                      9.829455608641458E-4
600                      0.0010738562288055372
700                      0.0011570682932735684
800                      0.0012340797256382224
900                      0.0013060075313052837
1000                     0.0013737466005078597
2000                     0.0019077146755236971
3000                     0.0022996916186369797
4000                     0.002611659323180024
5000                     0.0028662406602537756
6000                     0.0030766600222007236
7000                     0.003252028010674388
8000                     0.0033983255250347936
9000                     0.0035204506824447514
10000                    0.003622390428231058
20000                    0.0040481439509363
30000                    0.004113656685067924
40000                    0.0041234466087190415
50000                    0.004125416720906324
60000                    0.0041258516871579545
70000                    0.0041261769877746005
80000                    0.004126250177396255
90000                    0.004126318321508286
100000                   0.0041263322061516365
110000                   0.004126345252169601
120000                   0.004126349276919577
130000                   0.004126353044313058
140000                   0.004126354043101904
150000                   0.004126354979168439
160000                   0.004126355240465746
170000                   0.004126355485250235
180000                   0.0041263555523884015
190000                   0.0041263556152932755
200000                   0.004126355632655994
