% Model,C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 00:05"
% Table,Table 2 - Global Evaluation 3 (intopA(1))
% R_texture (m),H_cone (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.000812954118924E-8
5.0E-6,1.25E-5,0,1.0033226075333195E-8
5.0E-6,2.0E-5,0,1.0061284414713326E-8
5.0E-6,2.75E-5,0,1.0090035150311521E-8
5.0E-6,3.5000000000000004E-5,0,1.01191830934647E-8
1.0E-5,5.0E-6,0,1.000926507058915E-8
1.0E-5,1.25E-5,0,1.0047160462314964E-8
1.0E-5,2.0E-5,0,1.0096991596819949E-8
1.0E-5,2.75E-5,0,1.015123445956336E-8
1.0E-5,3.5000000000000004E-5,0,1.020719141631573E-8
2.0E-5,5.0E-6,0,1.0009665064474526E-8
2.0E-5,1.25E-5,0,1.0056300389317815E-8
2.0E-5,2.0E-5,0,1.0130116379207347E-8
2.0E-5,2.75E-5,0,1.021987910117659E-8
2.0E-5,3.5000000000000004E-5,0,1.0318975169382343E-8
5.0E-5,5.0E-6,0,1.0009790605097126E-8
5.0E-5,1.25E-5,0,1.006041708945748E-8
5.0E-5,2.0E-5,0,1.015123829853226E-8
5.0E-5,2.75E-5,0,1.0277352977493423E-8
5.0E-5,3.5000000000000004E-5,0,1.0433214224349787E-8
8.0E-5,5.0E-6,0,1.0009807026420941E-8
8.0E-5,1.25E-5,0,1.0060983758379661E-8
8.0E-5,2.0E-5,0,1.0154686334207373E-8
8.0E-5,2.75E-5,0,1.0288676200427023E-8
8.0E-5,3.5000000000000004E-5,0,1.045997604075886E-8
