% Model:              C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 14:14
% Table:              Table 3 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_cone (m)               t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        9.419339541794556E-7
5.0E-6                   5.0E-6                   1.1                      1.7616400453401823E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.7769538574279233E-6
5.0E-6                   5.0E-6                   1.3                      1.7920822054418534E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.8071352095900518E-6
5.0E-6                   5.0E-6                   1.5                      1.8221176606079498E-6
5.0E-6                   5.0E-6                   1.6                      1.837025609935682E-6
5.0E-6                   5.0E-6                   1.7000000000000002       1.8518355363336337E-6
5.0E-6                   5.0E-6                   1.8                      1.8665828587572361E-6
5.0E-6                   5.0E-6                   1.9000000000000001       1.8812808155632761E-6
5.0E-6                   5.0E-6                   2                        1.8958826154544936E-6
5.0E-6                   5.0E-6                   5                        2.3069107215016766E-6
5.0E-6                   5.0E-6                   10                       2.9040432024489388E-6
5.0E-6                   5.0E-6                   100                      8.624966101835639E-6
5.0E-6                   5.0E-6                   100                      8.624966101835639E-6
5.0E-6                   5.0E-6                   200                      1.225025883928411E-5
5.0E-6                   5.0E-6                   300                      1.5021101024447809E-5
5.0E-6                   5.0E-6                   400                      1.7349434106487718E-5
5.0E-6                   5.0E-6                   500                      1.940172303838328E-5
5.0E-6                   5.0E-6                   600                      2.1257936929883327E-5
5.0E-6                   5.0E-6                   700                      2.2963314999430033E-5
5.0E-6                   5.0E-6                   800                      2.4548516681364227E-5
5.0E-6                   5.0E-6                   900                      2.603672984892953E-5
5.0E-6                   5.0E-6                   1000                     2.7446200768704316E-5
5.0E-6                   5.0E-6                   2000                     3.8818188480084865E-5
5.0E-6                   5.0E-6                   3000                     4.7546730155653355E-5
5.0E-6                   5.0E-6                   4000                     5.489717493102111E-5
5.0E-6                   5.0E-6                   5000                     6.137976665436962E-5
5.0E-6                   5.0E-6                   6000                     6.724080979556581E-5
5.0E-6                   5.0E-6                   7000                     7.262984283514183E-5
5.0E-6                   5.0E-6                   8000                     7.764237693615196E-5
5.0E-6                   5.0E-6                   9000                     8.234556878576547E-5
5.0E-6                   5.0E-6                   10000                    8.679075279988565E-5
5.0E-6                   5.0E-6                   20000                    1.216007777910175E-4
5.0E-6                   5.0E-6                   30000                    1.4414324139908264E-4
5.0E-6                   5.0E-6                   40000                    1.5825078894331806E-4
5.0E-6                   5.0E-6                   50000                    1.6664866792310203E-4
5.0E-6                   5.0E-6                   60000                    1.714111034239384E-4
5.0E-6                   5.0E-6                   70000                    1.738816655403247E-4
5.0E-6                   5.0E-6                   80000                    1.7507104983167942E-4
5.0E-6                   5.0E-6                   90000                    1.7559170072487784E-4
5.0E-6                   5.0E-6                   100000                   1.7598653340110987E-4
5.0E-6                   5.0E-6                   110000                   1.7628031952710712E-4
5.0E-6                   5.0E-6                   120000                   1.766715468699112E-4
5.0E-6                   5.0E-6                   130000                   1.768054441046163E-4
5.0E-6                   5.0E-6                   140000                   1.7687119967826247E-4
5.0E-6                   5.0E-6                   150000                   1.7689100036671343E-4
5.0E-6                   5.0E-6                   160000                   1.769051224943101E-4
5.0E-6                   5.0E-6                   170000                   1.7690013422576225E-4
5.0E-6                   5.0E-6                   180000                   1.7689240661346891E-4
5.0E-6                   5.0E-6                   190000                   1.768851917506437E-4
5.0E-6                   5.0E-6                   200000                   1.7688167067090257E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        9.376652312090757E-7
5.0E-6                   1.25E-5                  1.1                      1.7453129662792797E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.7607781776400662E-6
5.0E-6                   1.25E-5                  1.3                      1.7761489430521571E-6
5.0E-6                   1.25E-5                  1.4000000000000001       1.7914241616712586E-6
5.0E-6                   1.25E-5                  1.5                      1.8066163485218608E-6
5.0E-6                   1.25E-5                  1.6                      1.8217227564817799E-6
5.0E-6                   1.25E-5                  1.7000000000000002       1.8367565438943636E-6
5.0E-6                   1.25E-5                  1.8                      1.851719475524357E-6
5.0E-6                   1.25E-5                  1.9000000000000001       1.8665653758687531E-6
5.0E-6                   1.25E-5                  2                        1.8813616971096458E-6
5.0E-6                   1.25E-5                  5                        2.2972053943427397E-6
5.0E-6                   1.25E-5                  10                       2.898510647308835E-6
5.0E-6                   1.25E-5                  100                      8.649262781992218E-6
5.0E-6                   1.25E-5                  100                      8.649262781992218E-6
5.0E-6                   1.25E-5                  200                      1.2291242414877971E-5
5.0E-6                   1.25E-5                  300                      1.506134898627607E-5
5.0E-6                   1.25E-5                  400                      1.7392997845284207E-5
5.0E-6                   1.25E-5                  500                      1.9455062356168646E-5
5.0E-6                   1.25E-5                  600                      2.1312446360587454E-5
5.0E-6                   1.25E-5                  700                      2.3018731763297664E-5
5.0E-6                   1.25E-5                  800                      2.461129747132801E-5
5.0E-6                   1.25E-5                  900                      2.6107211226296683E-5
5.0E-6                   1.25E-5                  1000                     2.7519555672917634E-5
5.0E-6                   1.25E-5                  2000                     3.890284246039303E-5
5.0E-6                   1.25E-5                  3000                     4.763358096391817E-5
5.0E-6                   1.25E-5                  4000                     5.4987804357841815E-5
5.0E-6                   1.25E-5                  5000                     6.14773938046609E-5
5.0E-6                   1.25E-5                  6000                     6.733989367123776E-5
5.0E-6                   1.25E-5                  7000                     7.273084232802996E-5
5.0E-6                   1.25E-5                  8000                     7.775011280344136E-5
5.0E-6                   1.25E-5                  9000                     8.246280178081235E-5
5.0E-6                   1.25E-5                  10000                    8.691496507493968E-5
5.0E-6                   1.25E-5                  20000                    1.2173871887354945E-4
5.0E-6                   1.25E-5                  30000                    1.4425564864921738E-4
5.0E-6                   1.25E-5                  40000                    1.5828706266215832E-4
5.0E-6                   1.25E-5                  50000                    1.6658574408325426E-4
5.0E-6                   1.25E-5                  60000                    1.712762682783961E-4
5.0E-6                   1.25E-5                  70000                    1.7373113929852456E-4
5.0E-6                   1.25E-5                  80000                    1.7495493496453424E-4
5.0E-6                   1.25E-5                  90000                    1.7559612578102083E-4
5.0E-6                   1.25E-5                  100000                   1.7605268205801597E-4
5.0E-6                   1.25E-5                  110000                   1.765686260519298E-4
5.0E-6                   1.25E-5                  120000                   1.769514833083979E-4
5.0E-6                   1.25E-5                  130000                   1.771695373283205E-4
5.0E-6                   1.25E-5                  140000                   1.7715415379597287E-4
5.0E-6                   1.25E-5                  150000                   1.7709748473191956E-4
5.0E-6                   1.25E-5                  160000                   1.770378586872845E-4
5.0E-6                   1.25E-5                  170000                   1.7698310640177646E-4
5.0E-6                   1.25E-5                  180000                   1.7693972017213222E-4
5.0E-6                   1.25E-5                  190000                   1.769132124464536E-4
5.0E-6                   1.25E-5                  200000                   1.7689298115788432E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        9.462008669013288E-7
5.0E-6                   2.0E-5                   1.1                      1.7611704411049052E-6
5.0E-6                   2.0E-5                   1.2000000000000002       1.7767214936544666E-6
5.0E-6                   2.0E-5                   1.3                      1.7921703659268407E-6
5.0E-6                   2.0E-5                   1.4000000000000001       1.807525741167678E-6
5.0E-6                   2.0E-5                   1.5                      1.8227945224297326E-6
5.0E-6                   2.0E-5                   1.6                      1.8379788469437018E-6
5.0E-6                   2.0E-5                   1.7000000000000002       1.8530807830899451E-6
5.0E-6                   2.0E-5                   1.8                      1.8681005927688325E-6
5.0E-6                   2.0E-5                   1.9000000000000001       1.8830421063344468E-6
5.0E-6                   2.0E-5                   2                        1.8979079060916875E-6
5.0E-6                   2.0E-5                   5                        2.3146062245825397E-6
5.0E-6                   2.0E-5                   10                       2.9165012566050677E-6
5.0E-6                   2.0E-5                   100                      8.670610830487202E-6
5.0E-6                   2.0E-5                   100                      8.670610830487202E-6
5.0E-6                   2.0E-5                   200                      1.2322629141475008E-5
5.0E-6                   2.0E-5                   300                      1.5120870684326157E-5
5.0E-6                   2.0E-5                   400                      1.7471816168070823E-5
5.0E-6                   2.0E-5                   500                      1.953561356823828E-5
5.0E-6                   2.0E-5                   600                      2.1396076206085828E-5
5.0E-6                   2.0E-5                   700                      2.310632314840634E-5
5.0E-6                   2.0E-5                   800                      2.47047124046403E-5
5.0E-6                   2.0E-5                   900                      2.6208441127189092E-5
5.0E-6                   2.0E-5                   1000                     2.7631358865937008E-5
5.0E-6                   2.0E-5                   2000                     3.907576606182367E-5
5.0E-6                   2.0E-5                   3000                     4.783035297640939E-5
5.0E-6                   2.0E-5                   4000                     5.52203657488392E-5
5.0E-6                   2.0E-5                   5000                     6.172758335643405E-5
5.0E-6                   2.0E-5                   6000                     6.760352373488301E-5
5.0E-6                   2.0E-5                   7000                     7.301816340745804E-5
5.0E-6                   2.0E-5                   8000                     7.804810830453023E-5
5.0E-6                   2.0E-5                   9000                     8.27651965262776E-5
5.0E-6                   2.0E-5                   10000                    8.72183123123304E-5
5.0E-6                   2.0E-5                   20000                    1.2207310651342882E-4
5.0E-6                   2.0E-5                   30000                    1.4446451160284626E-4
5.0E-6                   2.0E-5                   40000                    1.5841547147470207E-4
5.0E-6                   2.0E-5                   50000                    1.6670967753617681E-4
5.0E-6                   2.0E-5                   60000                    1.714198904862927E-4
5.0E-6                   2.0E-5                   70000                    1.7395779676986257E-4
5.0E-6                   2.0E-5                   80000                    1.7517341413720889E-4
5.0E-6                   2.0E-5                   90000                    1.7571775745063616E-4
5.0E-6                   2.0E-5                   100000                   1.7607576885563924E-4
5.0E-6                   2.0E-5                   110000                   1.7633517896699494E-4
5.0E-6                   2.0E-5                   120000                   1.7664558214070122E-4
5.0E-6                   2.0E-5                   130000                   1.767580171823476E-4
5.0E-6                   2.0E-5                   140000                   1.7683000917783135E-4
5.0E-6                   2.0E-5                   150000                   1.7685528240961548E-4
5.0E-6                   2.0E-5                   160000                   1.7686896807531392E-4
5.0E-6                   2.0E-5                   170000                   1.768626934769346E-4
5.0E-6                   2.0E-5                   180000                   1.768583231258336E-4
5.0E-6                   2.0E-5                   190000                   1.7685067485875106E-4
5.0E-6                   2.0E-5                   200000                   1.768469216214048E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        9.348926223873992E-7
5.0E-6                   2.75E-5                  1.1                      1.7393900144966726E-6
5.0E-6                   2.75E-5                  1.2000000000000002       1.7552512795697397E-6
5.0E-6                   2.75E-5                  1.3                      1.7710004540513516E-6
5.0E-6                   2.75E-5                  1.4000000000000001       1.7866444394579044E-6
5.0E-6                   2.75E-5                  1.5                      1.8021883679280691E-6
5.0E-6                   2.75E-5                  1.6                      1.817638583738861E-6
5.0E-6                   2.75E-5                  1.7000000000000002       1.832999298389999E-6
5.0E-6                   2.75E-5                  1.8                      1.8482741016564623E-6
5.0E-6                   2.75E-5                  1.9000000000000001       1.8634659427915052E-6
5.0E-6                   2.75E-5                  2                        1.8785777467664677E-6
5.0E-6                   2.75E-5                  5                        2.301309640433892E-6
5.0E-6                   2.75E-5                  10                       2.91032621023626E-6
5.0E-6                   2.75E-5                  100                      8.703844917000682E-6
5.0E-6                   2.75E-5                  100                      8.703844917000682E-6
5.0E-6                   2.75E-5                  200                      1.2370740212090114E-5
5.0E-6                   2.75E-5                  300                      1.5179532347063781E-5
5.0E-6                   2.75E-5                  400                      1.7547606180763635E-5
5.0E-6                   2.75E-5                  500                      1.96218134064208E-5
5.0E-6                   2.75E-5                  600                      2.149554833151458E-5
5.0E-6                   2.75E-5                  700                      2.321519071850264E-5
5.0E-6                   2.75E-5                  800                      2.4816841155525632E-5
5.0E-6                   2.75E-5                  900                      2.6327804425753372E-5
5.0E-6                   2.75E-5                  1000                     2.7759171190448996E-5
5.0E-6                   2.75E-5                  2000                     3.927524018349391E-5
5.0E-6                   2.75E-5                  3000                     4.8087861882704856E-5
5.0E-6                   2.75E-5                  4000                     5.550796289924326E-5
5.0E-6                   2.75E-5                  5000                     6.205695318967006E-5
5.0E-6                   2.75E-5                  6000                     6.795609817032904E-5
5.0E-6                   2.75E-5                  7000                     7.339205312189641E-5
5.0E-6                   2.75E-5                  8000                     7.845099555368097E-5
5.0E-6                   2.75E-5                  9000                     8.318917487435184E-5
5.0E-6                   2.75E-5                  10000                    8.766020226705117E-5
5.0E-6                   2.75E-5                  20000                    1.2256245949937783E-4
5.0E-6                   2.75E-5                  30000                    1.4489886213876456E-4
5.0E-6                   2.75E-5                  40000                    1.587842742736233E-4
5.0E-6                   2.75E-5                  50000                    1.6701885100922458E-4
5.0E-6                   2.75E-5                  60000                    1.7163934236188452E-4
5.0E-6                   2.75E-5                  70000                    1.7414282068637952E-4
5.0E-6                   2.75E-5                  80000                    1.7529439414680988E-4
5.0E-6                   2.75E-5                  90000                    1.7583792895697501E-4
5.0E-6                   2.75E-5                  100000                   1.7623778087132023E-4
5.0E-6                   2.75E-5                  110000                   1.764179881836859E-4
5.0E-6                   2.75E-5                  120000                   1.7656098048716423E-4
5.0E-6                   2.75E-5                  130000                   1.7663837332885943E-4
5.0E-6                   2.75E-5                  140000                   1.7670312358473864E-4
5.0E-6                   2.75E-5                  150000                   1.7673814597731155E-4
5.0E-6                   2.75E-5                  160000                   1.7676750363654556E-4
5.0E-6                   2.75E-5                  170000                   1.7678352637394483E-4
5.0E-6                   2.75E-5                  180000                   1.7679690654546162E-4
5.0E-6                   2.75E-5                  190000                   1.7680406285870947E-4
5.0E-6                   2.75E-5                  200000                   1.7681003834419166E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
