% Model,C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 00:04"
% Table,Table 1 - Global Evaluation 1 (intopV(1))
% R_texture (m),H_cone (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,4.999672798396583E-13
5.0E-6,1.25E-5,0,4.999181920670197E-13
5.0E-6,2.0E-5,0,4.998691201129019E-13
5.0E-6,2.75E-5,0,4.99820156399741E-13
5.0E-6,3.5000000000000004E-5,0,4.997709370627977E-13
1.0E-5,5.0E-6,0,4.998691354892848E-13
1.0E-5,1.25E-5,0,4.996727996789711E-13
1.0E-5,2.0E-5,0,4.994765088039892E-13
1.0E-5,2.75E-5,0,4.992801057442969E-13
1.0E-5,3.5000000000000004E-5,0,4.990839974095988E-13
2.0E-5,5.0E-6,0,4.994764495068274E-13
2.0E-5,1.25E-5,0,4.986910806031754E-13
2.0E-5,2.0E-5,0,4.979056845709188E-13
2.0E-5,2.75E-5,0,4.971203984855608E-13
2.0E-5,3.5000000000000004E-5,0,4.963349624614616E-13
5.0E-5,5.0E-6,0,4.967276056195663E-13
5.0E-5,1.25E-5,0,4.918189525997609E-13
5.0E-5,2.0E-5,0,4.869101663023977E-13
5.0E-5,2.75E-5,0,4.820014947781835E-13
5.0E-5,3.5000000000000004E-5,0,4.770927719551208E-13
8.0E-5,5.0E-6,0,4.916224737179242E-13
8.0E-5,1.25E-5,0,4.790561859262754E-13
8.0E-5,2.0E-5,0,4.664898755353711E-13
8.0E-5,2.75E-5,0,4.5392342836599376E-13
8.0E-5,3.5000000000000004E-5,0,4.4135721302826373E-13
