% Model,C52_3D_base_unit_cell_recesses_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 26 2026, 23:57"
% Table,Table 2 - Global Evaluation 2 (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0039270190066085E-8
5.0E-6,1.25E-5,0,1.0098174542048017E-8
5.0E-6,2.0E-5,0,1.0157077901608699E-8
5.0E-6,2.75E-5,0,1.021598218865857E-8
5.0E-6,3.5000000000000004E-5,0,1.0274886426208024E-8
1.0E-5,5.0E-6,0,1.0078539167486598E-8
1.0E-5,1.25E-5,0,1.0196348553999215E-8
1.0E-5,2.0E-5,0,1.0314155598866983E-8
1.0E-5,2.75E-5,0,1.0431963927363908E-8
1.0E-5,3.5000000000000004E-5,0,1.054977257665705E-8
2.0E-5,5.0E-6,0,1.015707928899503E-8
2.0E-5,1.25E-5,0,1.0392698476224122E-8
2.0E-5,2.0E-5,0,1.062831706973537E-8
2.0E-5,2.75E-5,0,1.0863936011498371E-8
2.0E-5,3.5000000000000004E-5,0,1.109955469528828E-8
5.0E-5,5.0E-6,0,1.0392699061886389E-8
5.0E-5,1.25E-5,0,1.098174764516554E-8
5.0E-5,2.0E-5,0,1.1570796214391298E-8
5.0E-5,2.75E-5,0,1.2159844813221448E-8
5.0E-5,3.5000000000000004E-5,0,1.2748893402809993E-8
8.0E-5,5.0E-6,0,1.0628318495866587E-8
8.0E-5,1.25E-5,0,1.157079630275452E-8
8.0E-5,2.0E-5,0,1.2513274088818797E-8
8.0E-5,2.75E-5,0,1.3455751876392262E-8
8.0E-5,3.5000000000000004E-5,0,1.4398229660900831E-8
