% Model,C52_3D_base_unit_cell_recesses_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 26 2026, 23:57"
% Table,Table 1 - Global Evaluation 3 (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,4.999018269246509E-13
5.0E-6,1.25E-5,0,4.997545680661735E-13
5.0E-6,2.0E-5,0,4.996073119214208E-13
5.0E-6,2.75E-5,0,4.994600536346626E-13
5.0E-6,3.5000000000000004E-5,0,4.993127957484077E-13
1.0E-5,5.0E-6,0,4.996073077692905E-13
1.0E-5,1.25E-5,0,4.990182653716055E-13
1.0E-5,2.0E-5,0,4.984292496835625E-13
1.0E-5,2.75E-5,0,4.978402183208805E-13
1.0E-5,3.5000000000000004E-5,0,4.972511847119902E-13
2.0E-5,5.0E-6,0,4.984292117733733E-13
2.0E-5,1.25E-5,0,4.960730229852116E-13
2.0E-5,2.0E-5,0,4.93716850751701E-13
2.0E-5,2.75E-5,0,4.913606687730951E-13
2.0E-5,3.5000000000000004E-5,0,4.890044941931702E-13
5.0E-5,5.0E-6,0,4.901825241141128E-13
5.0E-5,1.25E-5,0,4.754563108832295E-13
5.0E-5,2.0E-5,0,4.60730098688861E-13
5.0E-5,2.75E-5,0,4.4600388478778003E-13
5.0E-5,3.5000000000000004E-5,0,4.312776714591679E-13
8.0E-5,5.0E-6,0,4.748672596693556E-13
8.0E-5,1.25E-5,0,4.3716814914301487E-13
8.0E-5,2.0E-5,0,3.994690384400384E-13
8.0E-5,2.75E-5,0,3.6176992749957435E-13
8.0E-5,3.5000000000000004E-5,0,3.2407081680021435E-13
