% Model,C52_3D_base_unit_cell_recesses(cylindrical pillar).mph
% Version,COMSOL 5.2.0.220
% Date,"Aug 4 2026, 20:37"
% Table,Table 5 - Global Evaluation 3 (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0089269784305161E-8
5.0E-6,1.25E-5,0,1.0223174035202205E-8
5.0E-6,2.0E-5,0,1.0357077903761704E-8
5.0E-6,2.75E-5,0,1.0490982202146372E-8
5.0E-6,3.5000000000000004E-5,0,1.0624886648677406E-8
1.0E-5,5.0E-6,0,1.0178539170723658E-8
1.0E-5,1.25E-5,0,1.044634862366869E-8
1.0E-5,2.0E-5,0,1.0714155611176584E-8
1.0E-5,2.75E-5,0,1.0981963982860985E-8
1.0E-5,3.5000000000000004E-5,0,1.124977267323474E-8
2.0E-5,5.0E-6,0,1.035707930544835E-8
2.0E-5,1.25E-5,0,1.0892698440177737E-8
2.0E-5,2.0E-5,0,1.1428317077497084E-8
2.0E-5,2.75E-5,0,1.1963935979170148E-8
2.0E-5,3.5000000000000004E-5,0,1.2499554651886634E-8
5.0E-5,5.0E-6,0,1.0892699060381416E-8
5.0E-5,1.25E-5,0,1.2231747653772615E-8
5.0E-5,2.0E-5,0,1.3570796217650341E-8
5.0E-5,2.75E-5,0,1.490984480928849E-8
5.0E-5,3.5000000000000004E-5,0,1.624889340050927E-8
8.0E-5,5.0E-6,0,1.1428318525132002E-8
8.0E-5,1.25E-5,0,1.3570796305547593E-8
8.0E-5,2.0E-5,0,1.5713274087774065E-8
8.0E-5,2.75E-5,0,1.785575187817955E-8
8.0E-5,3.5000000000000004E-5,0,1.9998229664405545E-8
