% Model,C52_3D_base_unit_cell_recesses(cylindrical pillar).mph
% Version,COMSOL 5.2.0.220
% Date,"Aug 4 2026, 20:34"
% Table,Table 3 - Global Evaluation 1 (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,5.000981738034108E-13
5.0E-6,1.25E-5,0,5.002454319490814E-13
5.0E-6,2.0E-5,0,5.003926881062049E-13
5.0E-6,2.75E-5,0,5.00539946386133E-13
5.0E-6,3.5000000000000004E-5,0,5.006872056068679E-13
1.0E-5,5.0E-6,0,5.003926922146001E-13
1.0E-5,1.25E-5,0,5.009817352248131E-13
1.0E-5,2.0E-5,0,5.015707508339234E-13
1.0E-5,2.75E-5,0,5.021597826501077E-13
1.0E-5,3.5000000000000004E-5,0,5.027488165886801E-13
2.0E-5,5.0E-6,0,5.015707885365391E-13
2.0E-5,1.25E-5,0,5.039269762841309E-13
2.0E-5,2.0E-5,0,5.06283149504047E-13
2.0E-5,2.75E-5,0,5.086393306375966E-13
2.0E-5,3.5000000000000004E-5,0,5.109955052610668E-13
5.0E-5,5.0E-6,0,5.098174759358E-13
5.0E-5,1.25E-5,0,5.245436895567297E-13
5.0E-5,2.0E-5,0,5.392699014673288E-13
5.0E-5,2.75E-5,0,5.539961150315846E-13
5.0E-5,3.5000000000000004E-5,0,5.687223284587553E-13
8.0E-5,5.0E-6,0,5.251327407163653E-13
8.0E-5,1.25E-5,0,5.628318510970873E-13
8.0E-5,2.0E-5,0,6.005309614800493E-13
8.0E-5,2.75E-5,0,6.38230072644162E-13
8.0E-5,3.5000000000000004E-5,0,6.759291834835957E-13
