% Model,C52_3D_base_unit_cell_recesses(grooves)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Aug 3 2026, 14:59"
% Table,Table 2 - Global Evaluation 3 - export as csv (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0207106781186476E-8
5.0E-6,5.0E-6,0.1,1.0207106781186476E-8
5.0E-6,5.0E-6,0.2,1.0207106781186476E-8
5.0E-6,5.0E-6,0.30000000000000004,1.0207106781186476E-8
5.0E-6,5.0E-6,0.4,1.0207106781186476E-8
5.0E-6,5.0E-6,0.5,1.0207106781186476E-8
5.0E-6,5.0E-6,0.6000000000000001,1.0207106781186476E-8
5.0E-6,5.0E-6,0.7000000000000001,1.0207106781186476E-8
5.0E-6,5.0E-6,0.8,1.0207106781186476E-8
5.0E-6,5.0E-6,0.9,1.0207106781186476E-8
5.0E-6,5.0E-6,1,1.0207106781186476E-8
5.0E-6,5.0E-6,1.1,1.0207106781186476E-8
5.0E-6,5.0E-6,1.2000000000000002,1.0207106781186476E-8
5.0E-6,5.0E-6,1.3,1.0207106781186476E-8
5.0E-6,5.0E-6,1.4000000000000001,1.0207106781186476E-8
5.0E-6,5.0E-6,1.5,1.0207106781186476E-8
5.0E-6,5.0E-6,1.6,1.0207106781186476E-8
5.0E-6,5.0E-6,1.7000000000000002,1.0207106781186476E-8
5.0E-6,5.0E-6,1.8,1.0207106781186476E-8
5.0E-6,5.0E-6,1.9000000000000001,1.0207106781186476E-8
5.0E-6,5.0E-6,2,1.0207106781186476E-8
5.0E-6,5.0E-6,5,1.0207106781186476E-8
5.0E-6,5.0E-6,10,1.0207106781186476E-8
5.0E-6,5.0E-6,100,1.0207106781186476E-8
5.0E-6,5.0E-6,100,1.0207106781186476E-8
5.0E-6,5.0E-6,200,1.0207106781186476E-8
5.0E-6,5.0E-6,300,1.0207106781186476E-8
5.0E-6,5.0E-6,400,1.0207106781186476E-8
5.0E-6,5.0E-6,500,1.0207106781186476E-8
5.0E-6,5.0E-6,600,1.0207106781186476E-8
5.0E-6,5.0E-6,700,1.0207106781186476E-8
5.0E-6,5.0E-6,800,1.0207106781186476E-8
5.0E-6,5.0E-6,900,1.0207106781186476E-8
5.0E-6,5.0E-6,1000,1.0207106781186476E-8
5.0E-6,5.0E-6,2000,1.0207106781186476E-8
5.0E-6,5.0E-6,3000,1.0207106781186476E-8
5.0E-6,5.0E-6,4000,1.0207106781186476E-8
5.0E-6,5.0E-6,5000,1.0207106781186476E-8
5.0E-6,5.0E-6,6000,1.0207106781186476E-8
5.0E-6,5.0E-6,7000,1.0207106781186476E-8
5.0E-6,5.0E-6,8000,1.0207106781186476E-8
5.0E-6,5.0E-6,9000,1.0207106781186476E-8
5.0E-6,5.0E-6,10000,1.0207106781186476E-8
5.0E-6,5.0E-6,20000,1.0207106781186476E-8
5.0E-6,5.0E-6,30000,1.0207106781186476E-8
5.0E-6,5.0E-6,40000,1.0207106781186476E-8
5.0E-6,5.0E-6,50000,1.0207106781186476E-8
5.0E-6,5.0E-6,60000,1.0207106781186476E-8
5.0E-6,5.0E-6,70000,1.0207106781186476E-8
5.0E-6,5.0E-6,80000,1.0207106781186476E-8
5.0E-6,5.0E-6,90000,1.0207106781186476E-8
5.0E-6,5.0E-6,100000,1.0207106781186476E-8
5.0E-6,5.0E-6,110000,1.0207106781186476E-8
5.0E-6,5.0E-6,120000,1.0207106781186476E-8
5.0E-6,5.0E-6,130000,1.0207106781186476E-8
5.0E-6,5.0E-6,140000,1.0207106781186476E-8
5.0E-6,5.0E-6,150000,1.0207106781186476E-8
5.0E-6,5.0E-6,160000,1.0207106781186476E-8
5.0E-6,5.0E-6,170000,1.0207106781186476E-8
5.0E-6,5.0E-6,180000,1.0207106781186476E-8
5.0E-6,5.0E-6,190000,1.0207106781186476E-8
