% Model:              C52_3D_base_unit_cell_recesses(grooves)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 3 2026, 14:56
% Table:              Table 1 - Global Evaluation 2 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        9.426447524755597E-7
5.0E-6                   5.0E-6                   1.1                      1.7652323317256456E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.7811488231823022E-6
5.0E-6                   5.0E-6                   1.3                      1.7968872223837349E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.8125356890983502E-6
5.0E-6                   5.0E-6                   1.5                      1.8281110947875775E-6
5.0E-6                   5.0E-6                   1.6                      1.843630878497443E-6
5.0E-6                   5.0E-6                   1.7000000000000002       1.8590148761135256E-6
5.0E-6                   5.0E-6                   1.8                      1.8743227713110317E-6
5.0E-6                   5.0E-6                   1.9000000000000001       1.8895816934181794E-6
5.0E-6                   5.0E-6                   2                        1.9047917421034205E-6
5.0E-6                   5.0E-6                   5                        2.3316442397250554E-6
5.0E-6                   5.0E-6                   10                       2.9520471869111014E-6
5.0E-6                   5.0E-6                   100                      8.789001290644719E-6
5.0E-6                   5.0E-6                   100                      8.789001290644719E-6
5.0E-6                   5.0E-6                   200                      1.2458336828335123E-5
5.0E-6                   5.0E-6                   300                      1.5261627088009654E-5
5.0E-6                   5.0E-6                   400                      1.7608996261456146E-5
5.0E-6                   5.0E-6                   500                      1.9669010032109794E-5
5.0E-6                   5.0E-6                   600                      2.153288082270097E-5
5.0E-6                   5.0E-6                   700                      2.325261159900541E-5
5.0E-6                   5.0E-6                   800                      2.4852693893064767E-5
5.0E-6                   5.0E-6                   900                      2.6349795564807034E-5
5.0E-6                   5.0E-6                   1000                     2.7762437313496067E-5
5.0E-6                   5.0E-6                   2000                     3.918151143929452E-5
5.0E-6                   5.0E-6                   3000                     4.792325941883755E-5
5.0E-6                   5.0E-6                   4000                     5.529662958228147E-5
5.0E-6                   5.0E-6                   5000                     6.179171303311213E-5
5.0E-6                   5.0E-6                   6000                     6.766369568607927E-5
5.0E-6                   5.0E-6                   7000                     7.305770480705963E-5
5.0E-6                   5.0E-6                   8000                     7.80696088526245E-5
5.0E-6                   5.0E-6                   9000                     8.276876644050448E-5
5.0E-6                   5.0E-6                   10000                    8.72076898990709E-5
5.0E-6                   5.0E-6                   20000                    1.2202205380854644E-4
5.0E-6                   5.0E-6                   30000                    1.4437702460353105E-4
5.0E-6                   5.0E-6                   40000                    1.5848090724241074E-4
5.0E-6                   5.0E-6                   50000                    1.6686722780311268E-4
5.0E-6                   5.0E-6                   60000                    1.71534196946934E-4
5.0E-6                   5.0E-6                   70000                    1.7406895888723013E-4
5.0E-6                   5.0E-6                   80000                    1.7535735424569805E-4
5.0E-6                   5.0E-6                   90000                    1.7594710631227528E-4
5.0E-6                   5.0E-6                   100000                   1.7617273288305816E-4
5.0E-6                   5.0E-6                   110000                   1.762562138774851E-4
5.0E-6                   5.0E-6                   120000                   1.7624611148558402E-4
5.0E-6                   5.0E-6                   130000                   1.7624243255368114E-4
5.0E-6                   5.0E-6                   140000                   1.7627984372634164E-4
5.0E-6                   5.0E-6                   150000                   1.7633099177391686E-4
5.0E-6                   5.0E-6                   160000                   1.763638433558158E-4
5.0E-6                   5.0E-6                   170000                   1.763916673468628E-4
5.0E-6                   5.0E-6                   180000                   1.764065677553695E-4
5.0E-6                   5.0E-6                   190000                   1.7641918849439368E-4
5.0E-6                   5.0E-6                   200000                   1.7642594624560863E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        1.0233634091274286E-6
5.0E-6                   1.25E-5                  1.1                      1.90615133603373E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.9225411911599463E-6
5.0E-6                   1.25E-5                  1.3                      1.9388513959389273E-6
5.0E-6                   1.25E-5                  1.4000000000000001       1.9550732637270836E-6
5.0E-6                   1.25E-5                  1.5                      1.9712238384359972E-6
5.0E-6                   1.25E-5                  1.6                      1.98731957639155E-6
5.0E-6                   1.25E-5                  1.7000000000000002       2.0032864034704644E-6
5.0E-6                   1.25E-5                  1.8                      2.019174502056661E-6
5.0E-6                   1.25E-5                  1.9000000000000001       2.035014078007223E-6
5.0E-6                   1.25E-5                  2                        2.050805223732308E-6
5.0E-6                   1.25E-5                  5                        2.4954648972004327E-6
5.0E-6                   1.25E-5                  10                       3.145604934471631E-6
5.0E-6                   1.25E-5                  100                      9.312672993311814E-6
5.0E-6                   1.25E-5                  100                      9.312672993311814E-6
5.0E-6                   1.25E-5                  200                      1.3177743619604742E-5
5.0E-6                   1.25E-5                  300                      1.6112756403799965E-5
5.0E-6                   1.25E-5                  400                      1.8579449397469798E-5
5.0E-6                   1.25E-5                  500                      2.0749393500752874E-5
5.0E-6                   1.25E-5                  600                      2.2700470306785384E-5
5.0E-6                   1.25E-5                  700                      2.448430862113024E-5
5.0E-6                   1.25E-5                  800                      2.6138792561021894E-5
5.0E-6                   1.25E-5                  900                      2.7686507519556467E-5
5.0E-6                   1.25E-5                  1000                     2.914671791179779E-5
5.0E-6                   1.25E-5                  2000                     4.089656683603376E-5
5.0E-6                   1.25E-5                  3000                     4.9846523388023714E-5
5.0E-6                   1.25E-5                  4000                     5.73429697872522E-5
5.0E-6                   1.25E-5                  5000                     6.391580368232441E-5
5.0E-6                   1.25E-5                  6000                     6.986209363323822E-5
5.0E-6                   1.25E-5                  7000                     7.532891487010244E-5
5.0E-6                   1.25E-5                  8000                     8.039724624122535E-5
5.0E-6                   1.25E-5                  9000                     8.514387859223441E-5
5.0E-6                   1.25E-5                  10000                    8.961865427633838E-5
5.0E-6                   1.25E-5                  20000                    1.2441377591142477E-4
5.0E-6                   1.25E-5                  30000                    1.462742811863787E-4
5.0E-6                   1.25E-5                  40000                    1.5938544312426182E-4
5.0E-6                   1.25E-5                  50000                    1.6681331704786821E-4
5.0E-6                   1.25E-5                  60000                    1.7084987004925748E-4
5.0E-6                   1.25E-5                  70000                    1.7296139312084332E-4
5.0E-6                   1.25E-5                  80000                    1.740734766557698E-4
5.0E-6                   1.25E-5                  90000                    1.7468123539553988E-4
5.0E-6                   1.25E-5                  100000                   1.750890167601962E-4
5.0E-6                   1.25E-5                  110000                   1.7536139897906622E-4
5.0E-6                   1.25E-5                  120000                   1.7554636349665457E-4
5.0E-6                   1.25E-5                  130000                   1.7567008711326517E-4
5.0E-6                   1.25E-5                  140000                   1.7573607798937138E-4
5.0E-6                   1.25E-5                  150000                   1.7577681391146136E-4
5.0E-6                   1.25E-5                  160000                   1.7579027638886272E-4
5.0E-6                   1.25E-5                  170000                   1.7579673239064567E-4
5.0E-6                   1.25E-5                  180000                   1.757947481398615E-4
5.0E-6                   1.25E-5                  190000                   1.757921294616292E-4
5.0E-6                   1.25E-5                  200000                   1.757882489588145E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        1.0993941301628104E-6
5.0E-6                   2.0E-5                   1.1                      2.0455538719356707E-6
5.0E-6                   2.0E-5                   1.2000000000000002       2.063019422326051E-6
5.0E-6                   2.0E-5                   1.3                      2.0804004358458475E-6
5.0E-6                   2.0E-5                   1.4000000000000001       2.097683138566658E-6
5.0E-6                   2.0E-5                   1.5                      2.114892462581001E-6
5.0E-6                   2.0E-5                   1.6                      2.1320421862913493E-6
5.0E-6                   2.0E-5                   1.7000000000000002       2.1490405857460923E-6
5.0E-6                   2.0E-5                   1.8                      2.165968740837582E-6
5.0E-6                   2.0E-5                   1.9000000000000001       2.1828441863799117E-6
5.0E-6                   2.0E-5                   2                        2.199667024765434E-6
5.0E-6                   2.0E-5                   5                        2.6729517555371E-6
5.0E-6                   2.0E-5                   10                       3.3637502523618777E-6
5.0E-6                   2.0E-5                   100                      9.912430683764677E-6
5.0E-6                   2.0E-5                   100                      9.912430683764677E-6
5.0E-6                   2.0E-5                   200                      1.4019412153097025E-5
5.0E-6                   2.0E-5                   300                      1.7134820252291893E-5
5.0E-6                   2.0E-5                   400                      1.9752358184397832E-5
5.0E-6                   2.0E-5                   500                      2.204015520084106E-5
5.0E-6                   2.0E-5                   600                      2.4106369666555615E-5
5.0E-6                   2.0E-5                   700                      2.5996006141593788E-5
5.0E-6                   2.0E-5                   800                      2.7747343988720945E-5
5.0E-6                   2.0E-5                   900                      2.9384918545237503E-5
5.0E-6                   2.0E-5                   1000                     3.092825272781908E-5
5.0E-6                   2.0E-5                   2000                     4.326293732596667E-5
5.0E-6                   2.0E-5                   3000                     5.25703482037136E-5
5.0E-6                   2.0E-5                   4000                     6.0350819043149746E-5
5.0E-6                   2.0E-5                   5000                     6.7149765782798E-5
5.0E-6                   2.0E-5                   6000                     7.326746662584533E-5
5.0E-6                   2.0E-5                   7000                     7.886830820514682E-5
5.0E-6                   2.0E-5                   8000                     8.405501647400721E-5
5.0E-6                   2.0E-5                   9000                     8.889975779064246E-5
5.0E-6                   2.0E-5                   10000                    9.345891364927502E-5
5.0E-6                   2.0E-5                   20000                    1.2823602869836215E-4
5.0E-6                   2.0E-5                   30000                    1.4921061232529498E-4
5.0E-6                   2.0E-5                   40000                    1.6124896606973114E-4
5.0E-6                   2.0E-5                   50000                    1.6776905166452212E-4
5.0E-6                   2.0E-5                   60000                    1.7117166557273562E-4
5.0E-6                   2.0E-5                   70000                    1.7291199772618957E-4
5.0E-6                   2.0E-5                   80000                    1.7381767755759054E-4
5.0E-6                   2.0E-5                   90000                    1.7434787093782497E-4
5.0E-6                   2.0E-5                   100000                   1.7469781796444997E-4
5.0E-6                   2.0E-5                   110000                   1.74907194966469E-4
5.0E-6                   2.0E-5                   120000                   1.7502080194151408E-4
5.0E-6                   2.0E-5                   130000                   1.750946409798187E-4
5.0E-6                   2.0E-5                   140000                   1.751250599038449E-4
5.0E-6                   2.0E-5                   150000                   1.751420549073426E-4
5.0E-6                   2.0E-5                   160000                   1.7513843912433344E-4
5.0E-6                   2.0E-5                   170000                   1.7513678844232334E-4
5.0E-6                   2.0E-5                   180000                   1.751298416365282E-4
5.0E-6                   2.0E-5                   190000                   1.7512547205576138E-4
5.0E-6                   2.0E-5                   200000                   1.751216359590393E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        1.1585018795291973E-6
5.0E-6                   2.75E-5                  1.1                      2.1551220916446583E-6
5.0E-6                   2.75E-5                  1.2000000000000002       2.1739956275466215E-6
5.0E-6                   2.75E-5                  1.3                      2.1927727118632708E-6
5.0E-6                   2.75E-5                  1.4000000000000001       2.211442495022635E-6
5.0E-6                   2.75E-5                  1.5                      2.230028560155851E-6
5.0E-6                   2.75E-5                  1.6                      2.2485484580829105E-6
5.0E-6                   2.75E-5                  1.7000000000000002       2.266900260903839E-6
5.0E-6                   2.75E-5                  1.8                      2.2851741466493424E-6
5.0E-6                   2.75E-5                  1.9000000000000001       2.3033895678867023E-6
5.0E-6                   2.75E-5                  2                        2.3215466424625195E-6
5.0E-6                   2.75E-5                  5                        2.831426844955181E-6
5.0E-6                   2.75E-5                  10                       3.572848162777602E-6
5.0E-6                   2.75E-5                  100                      1.0542275857157712E-5
5.0E-6                   2.75E-5                  100                      1.0542275857157712E-5
5.0E-6                   2.75E-5                  200                      1.490504495886259E-5
5.0E-6                   2.75E-5                  300                      1.8216340768251907E-5
5.0E-6                   2.75E-5                  400                      2.0995404933570993E-5
5.0E-6                   2.75E-5                  500                      2.3426388206149107E-5
5.0E-6                   2.75E-5                  600                      2.5619698796233165E-5
5.0E-6                   2.75E-5                  700                      2.7624888552182185E-5
5.0E-6                   2.75E-5                  800                      2.9483122260280315E-5
5.0E-6                   2.75E-5                  900                      3.1220289618505606E-5
5.0E-6                   2.75E-5                  1000                     3.285722712214824E-5
5.0E-6                   2.75E-5                  2000                     4.5915844350898434E-5
5.0E-6                   2.75E-5                  3000                     5.5729070972008253E-5
5.0E-6                   2.75E-5                  4000                     6.389114812658012E-5
5.0E-6                   2.75E-5                  5000                     7.099270351643704E-5
5.0E-6                   2.75E-5                  6000                     7.735257698432986E-5
5.0E-6                   2.75E-5                  7000                     8.314773941357053E-5
5.0E-6                   2.75E-5                  8000                     8.849153185139404E-5
5.0E-6                   2.75E-5                  9000                     9.345909286775944E-5
5.0E-6                   2.75E-5                  10000                    9.810092208914931E-5
5.0E-6                   2.75E-5                  20000                    1.3248874000380747E-4
5.0E-6                   2.75E-5                  30000                    1.522045177620354E-4
5.0E-6                   2.75E-5                  40000                    1.6298240091168953E-4
5.0E-6                   2.75E-5                  50000                    1.6858473898338148E-4
5.0E-6                   2.75E-5                  60000                    1.713841432327344E-4
5.0E-6                   2.75E-5                  70000                    1.728003435348181E-4
5.0E-6                   2.75E-5                  80000                    1.7354575381374227E-4
5.0E-6                   2.75E-5                  90000                    1.7395571454669424E-4
5.0E-6                   2.75E-5                  100000                   1.7419895499682983E-4
5.0E-6                   2.75E-5                  110000                   1.7435843035046747E-4
5.0E-6                   2.75E-5                  120000                   1.7441819383105708E-4
5.0E-6                   2.75E-5                  130000                   1.744292204789321E-4
5.0E-6                   2.75E-5                  140000                   1.744379300340129E-4
5.0E-6                   2.75E-5                  150000                   1.7444253134711875E-4
5.0E-6                   2.75E-5                  160000                   1.744461779081693E-4
5.0E-6                   2.75E-5                  170000                   1.744481314376325E-4
5.0E-6                   2.75E-5                  180000                   1.7444966887261514E-4
5.0E-6                   2.75E-5                  190000                   1.7445046841606707E-4
5.0E-6                   2.75E-5                  200000                   1.744510976202593E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
