% Model,C52_3D_base_unit_cell_recesses(grooves)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Aug 3 2026, 14:58"
% Table,Table 1 - Global Evaluation 1 - export as csv (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,4.987499999999987E-13
5.0E-6,1.25E-5,0,4.968749999999988E-13
5.0E-6,2.0E-5,0,4.949999999999988E-13
5.0E-6,2.75E-5,0,4.931249999999988E-13
5.0E-6,3.5000000000000004E-5,0,4.912499999999986E-13
1.0E-5,5.0E-6,0,4.974999999999988E-13
1.0E-5,1.25E-5,0,4.937499999999987E-13
1.0E-5,2.0E-5,0,4.899999999999986E-13
1.0E-5,2.75E-5,0,4.862499999999986E-13
1.0E-5,3.5000000000000004E-5,0,4.824999999999989E-13
2.0E-5,5.0E-6,0,4.94999999999999E-13
2.0E-5,1.25E-5,0,4.87499999999999E-13
2.0E-5,2.0E-5,0,4.799999999999989E-13
2.0E-5,2.75E-5,0,4.724999999999989E-13
2.0E-5,3.5000000000000004E-5,0,4.649999999999982E-13
5.0E-5,5.0E-6,0,4.874999999999984E-13
5.0E-5,1.25E-5,0,4.687499999999986E-13
5.0E-5,2.0E-5,0,4.4999999999999864E-13
5.0E-5,2.75E-5,0,4.3124999999999905E-13
5.0E-5,3.5000000000000004E-5,0,4.12499999999999E-13
8.0E-5,5.0E-6,0,4.799999999999984E-13
8.0E-5,1.25E-5,0,4.499999999999991E-13
8.0E-5,2.0E-5,0,4.199999999999989E-13
8.0E-5,2.75E-5,0,3.899999999999991E-13
8.0E-5,3.5000000000000004E-5,0,3.599999999999991E-13
