% Model,C52_3D_base_unit_cell_recesses(edges)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 17:00"
% Table,Table 2 - Global Evaluation 3 (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0499999999999924E-8
5.0E-6,1.25E-5,0,1.124999999999999E-8
5.0E-6,2.0E-5,0,1.1999999999999997E-8
5.0E-6,2.75E-5,0,1.2749999999999886E-8
5.0E-6,3.5000000000000004E-5,0,1.3500000000000048E-8
1.0E-5,5.0E-6,0,1.0500000000000026E-8
1.0E-5,1.25E-5,0,1.124999999999991E-8
1.0E-5,2.0E-5,0,1.199999999999999E-8
1.0E-5,2.75E-5,0,1.2749999999999998E-8
1.0E-5,3.5000000000000004E-5,0,1.3500000000000035E-8
2.0E-5,5.0E-6,0,1.0499999999999967E-8
2.0E-5,1.25E-5,0,1.1249999999999939E-8
2.0E-5,2.0E-5,0,1.1999999999999959E-8
2.0E-5,2.75E-5,0,1.2749999999999945E-8
2.0E-5,3.5000000000000004E-5,0,1.350000000000001E-8
5.0E-5,5.0E-6,0,1.049999999999983E-8
5.0E-5,1.25E-5,0,1.1249999999999977E-8
5.0E-5,2.0E-5,0,1.199999999999997E-8
5.0E-5,2.75E-5,0,1.2749999999999808E-8
5.0E-5,3.5000000000000004E-5,0,1.3500000000000073E-8
8.0E-5,5.0E-6,0,1.0500000000000025E-8
8.0E-5,1.25E-5,0,1.1249999999999887E-8
8.0E-5,2.0E-5,0,1.1999999999999982E-8
8.0E-5,2.75E-5,0,1.2749999999999993E-8
8.0E-5,3.5000000000000004E-5,0,1.3499999999999955E-8
