% Model:              C52_3D_base_unit_cell_recesses(edges)_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 27 2026, 16:59
% Table:              Table 1 - Global Evaluation 1 (n_CO2_film)
% R_texture (m)          H_texture (m)            t (s)                    Total moles of CO2 captured per unit cell (mol)
5.0E-6                   5.0E-6                   0                        0
5.0E-6                   5.0E-6                   0.1                      0
5.0E-6                   5.0E-6                   0.2                      0
5.0E-6                   5.0E-6                   0.30000000000000004      0
5.0E-6                   5.0E-6                   0.4                      0
5.0E-6                   5.0E-6                   0.5                      0
5.0E-6                   5.0E-6                   0.6000000000000001       0
5.0E-6                   5.0E-6                   0.7000000000000001       0
5.0E-6                   5.0E-6                   0.8                      0
5.0E-6                   5.0E-6                   0.9                      0
5.0E-6                   5.0E-6                   1                        1.025424306210099E-6
5.0E-6                   5.0E-6                   1.1                      1.917344470189695E-6
5.0E-6                   5.0E-6                   1.2000000000000002       1.9329026635929296E-6
5.0E-6                   5.0E-6                   1.3                      1.9482822451660662E-6
5.0E-6                   5.0E-6                   1.4000000000000001       1.9635799253692806E-6
5.0E-6                   5.0E-6                   1.5                      1.978811289343363E-6
5.0E-6                   5.0E-6                   1.6                      1.9939914973056157E-6
5.0E-6                   5.0E-6                   1.7000000000000002       2.009047990010552E-6
5.0E-6                   5.0E-6                   1.8                      2.0240363758461837E-6
5.0E-6                   5.0E-6                   1.9000000000000001       2.038979426900809E-6
5.0E-6                   5.0E-6                   2                        2.053877229840376E-6
5.0E-6                   5.0E-6                   5                        2.4735166188738107E-6
5.0E-6                   5.0E-6                   10                       3.0888256415794837E-6
5.0E-6                   5.0E-6                   100                      8.9701543511653E-6
5.0E-6                   5.0E-6                   100                      8.9701543511653E-6
5.0E-6                   5.0E-6                   200                      1.2673205198818787E-5
5.0E-6                   5.0E-6                   300                      1.548775978912954E-5
5.0E-6                   5.0E-6                   400                      1.785679007413662E-5
5.0E-6                   5.0E-6                   500                      1.994449602101929E-5
5.0E-6                   5.0E-6                   600                      2.1823160844954205E-5
5.0E-6                   5.0E-6                   700                      2.3545208335598267E-5
5.0E-6                   5.0E-6                   800                      2.5145455144650295E-5
5.0E-6                   5.0E-6                   900                      2.6644406227490283E-5
5.0E-6                   5.0E-6                   1000                     2.8060670127849817E-5
5.0E-6                   5.0E-6                   2000                     3.9513673073897194E-5
5.0E-6                   5.0E-6                   3000                     4.8293604379699526E-5
5.0E-6                   5.0E-6                   4000                     5.567047373831332E-5
5.0E-6                   5.0E-6                   5000                     6.215743970076178E-5
5.0E-6                   5.0E-6                   6000                     6.803798229866706E-5
5.0E-6                   5.0E-6                   7000                     7.344654518853748E-5
5.0E-6                   5.0E-6                   8000                     7.846576344586897E-5
5.0E-6                   5.0E-6                   9000                     8.317265929210959E-5
5.0E-6                   5.0E-6                   10000                    8.761629820391928E-5
5.0E-6                   5.0E-6                   20000                    1.2240167726521343E-4
5.0E-6                   5.0E-6                   30000                    1.4462916628605994E-4
5.0E-6                   5.0E-6                   40000                    1.5822111601100327E-4
5.0E-6                   5.0E-6                   50000                    1.660877814955488E-4
5.0E-6                   5.0E-6                   60000                    1.7045377501482325E-4
5.0E-6                   5.0E-6                   70000                    1.728093330629816E-4
5.0E-6                   5.0E-6                   80000                    1.7410631669306258E-4
5.0E-6                   5.0E-6                   90000                    1.748113195509997E-4
5.0E-6                   5.0E-6                   100000                   1.7525438702090836E-4
5.0E-6                   5.0E-6                   110000                   1.7556606627815188E-4
5.0E-6                   5.0E-6                   120000                   1.7576593089589022E-4
5.0E-6                   5.0E-6                   130000                   1.7589855078732527E-4
5.0E-6                   5.0E-6                   140000                   1.75963955873114E-4
5.0E-6                   5.0E-6                   150000                   1.7600720572280297E-4
5.0E-6                   5.0E-6                   160000                   1.760162565878179E-4
5.0E-6                   5.0E-6                   170000                   1.760233394598677E-4
5.0E-6                   5.0E-6                   180000                   1.760184717651551E-4
5.0E-6                   5.0E-6                   190000                   1.7601573220729476E-4
5.0E-6                   5.0E-6                   200000                   1.7601056267813116E-4
5.0E-6                   1.25E-5                  0                        0
5.0E-6                   1.25E-5                  0.1                      0
5.0E-6                   1.25E-5                  0.2                      0
5.0E-6                   1.25E-5                  0.30000000000000004      0
5.0E-6                   1.25E-5                  0.4                      0
5.0E-6                   1.25E-5                  0.5                      0
5.0E-6                   1.25E-5                  0.6000000000000001       0
5.0E-6                   1.25E-5                  0.7000000000000001       0
5.0E-6                   1.25E-5                  0.8                      0
5.0E-6                   1.25E-5                  0.9                      0
5.0E-6                   1.25E-5                  1                        1.063219310015618E-6
5.0E-6                   1.25E-5                  1.1                      1.9783037929684314E-6
5.0E-6                   1.25E-5                  1.2000000000000002       1.9954787760102905E-6
5.0E-6                   1.25E-5                  1.3                      2.0125677772793277E-6
5.0E-6                   1.25E-5                  1.4000000000000001       2.029557468052743E-6
5.0E-6                   1.25E-5                  1.5                      2.0464722192514925E-6
5.0E-6                   1.25E-5                  1.6                      2.0633266703203514E-6
5.0E-6                   1.25E-5                  1.7000000000000002       2.080029241992194E-6
5.0E-6                   1.25E-5                  1.8                      2.0966583679462053E-6
5.0E-6                   1.25E-5                  1.9000000000000001       2.113234267496953E-6
5.0E-6                   1.25E-5                  2                        2.129757048654527E-6
5.0E-6                   1.25E-5                  5                        2.593679407815081E-6
5.0E-6                   1.25E-5                  10                       3.2682615161148313E-6
5.0E-6                   1.25E-5                  100                      9.611040630475211E-6
5.0E-6                   1.25E-5                  100                      9.611040630475211E-6
5.0E-6                   1.25E-5                  200                      1.3576332542380075E-5
5.0E-6                   1.25E-5                  300                      1.657860710843611E-5
5.0E-6                   1.25E-5                  400                      1.909602663523065E-5
5.0E-6                   1.25E-5                  500                      2.1306641016319244E-5
5.0E-6                   1.25E-5                  600                      2.3289311913986725E-5
5.0E-6                   1.25E-5                  700                      2.5101443334986553E-5
5.0E-6                   1.25E-5                  800                      2.678118585142583E-5
5.0E-6                   1.25E-5                  900                      2.8351233612999086E-5
5.0E-6                   1.25E-5                  1000                     2.9831701281781008E-5
5.0E-6                   1.25E-5                  2000                     4.172039972059601E-5
5.0E-6                   1.25E-5                  3000                     5.0759235175284005E-5
5.0E-6                   1.25E-5                  4000                     5.831548214217894E-5
5.0E-6                   1.25E-5                  5000                     6.49384823572668E-5
5.0E-6                   1.25E-5                  6000                     7.092929720071391E-5
5.0E-6                   1.25E-5                  7000                     7.642782044423148E-5
5.0E-6                   1.25E-5                  8000                     8.152111827770085E-5
5.0E-6                   1.25E-5                  9000                     8.628902397336103E-5
5.0E-6                   1.25E-5                  10000                    9.078174639746858E-5
5.0E-6                   1.25E-5                  20000                    1.2548717968671464E-4
5.0E-6                   1.25E-5                  30000                    1.4691348043602807E-4
5.0E-6                   1.25E-5                  40000                    1.5951836014112782E-4
5.0E-6                   1.25E-5                  50000                    1.665209900136995E-4
5.0E-6                   1.25E-5                  60000                    1.7023826476417458E-4
5.0E-6                   1.25E-5                  70000                    1.7214006281384537E-4
5.0E-6                   1.25E-5                  80000                    1.731654253058246E-4
5.0E-6                   1.25E-5                  90000                    1.7371887827856682E-4
5.0E-6                   1.25E-5                  100000                   1.7407306101003991E-4
5.0E-6                   1.25E-5                  110000                   1.7433010725494255E-4
5.0E-6                   1.25E-5                  120000                   1.7449406418490565E-4
5.0E-6                   1.25E-5                  130000                   1.7460009151228542E-4
5.0E-6                   1.25E-5                  140000                   1.7465103596900708E-4
5.0E-6                   1.25E-5                  150000                   1.7468370124725001E-4
5.0E-6                   1.25E-5                  160000                   1.7468924212983523E-4
5.0E-6                   1.25E-5                  170000                   1.746934677253266E-4
5.0E-6                   1.25E-5                  180000                   1.7468866102111802E-4
5.0E-6                   1.25E-5                  190000                   1.7468583791240935E-4
5.0E-6                   1.25E-5                  200000                   1.7468151589967022E-4
5.0E-6                   2.0E-5                   0                        0
5.0E-6                   2.0E-5                   0.1                      0
5.0E-6                   2.0E-5                   0.2                      0
5.0E-6                   2.0E-5                   0.30000000000000004      0
5.0E-6                   2.0E-5                   0.4                      0
5.0E-6                   2.0E-5                   0.5                      0
5.0E-6                   2.0E-5                   0.6000000000000001       0
5.0E-6                   2.0E-5                   0.7000000000000001       0
5.0E-6                   2.0E-5                   0.8                      0
5.0E-6                   2.0E-5                   0.9                      0
5.0E-6                   2.0E-5                   1                        1.1312752567309404E-6
5.0E-6                   2.0E-5                   1.1                      2.1029604858404754E-6
5.0E-6                   2.0E-5                   1.2000000000000002       2.121229112761065E-6
5.0E-6                   2.0E-5                   1.3                      2.139405416583722E-6
5.0E-6                   2.0E-5                   1.4000000000000001       2.1574786804290652E-6
5.0E-6                   2.0E-5                   1.5                      2.1754719223144895E-6
5.0E-6                   2.0E-5                   1.6                      2.19340162680286E-6
5.0E-6                   2.0E-5                   1.7000000000000002       2.2111694362509278E-6
5.0E-6                   2.0E-5                   1.8                      2.2288635426408758E-6
5.0E-6                   2.0E-5                   1.9000000000000001       2.246501478869009E-6
5.0E-6                   2.0E-5                   2                        2.264083359361639E-6
5.0E-6                   2.0E-5                   5                        2.758103611180915E-6
5.0E-6                   2.0E-5                   10                       3.4773413331543807E-6
5.0E-6                   2.0E-5                   100                      1.0259123049210404E-5
5.0E-6                   2.0E-5                   100                      1.0259123049210404E-5
5.0E-6                   2.0E-5                   200                      1.4494538272442549E-5
5.0E-6                   2.0E-5                   300                      1.7704136305781707E-5
5.0E-6                   2.0E-5                   400                      2.039500883312352E-5
5.0E-6                   2.0E-5                   500                      2.274684094009787E-5
5.0E-6                   2.0E-5                   600                      2.486703060899597E-5
5.0E-6                   2.0E-5                   700                      2.680395165331095E-5
5.0E-6                   2.0E-5                   800                      2.8597788086132385E-5
5.0E-6                   2.0E-5                   900                      3.0273861304140073E-5
5.0E-6                   2.0E-5                   1000                     3.185251443634397E-5
5.0E-6                   2.0E-5                   2000                     4.4436814115134186E-5
5.0E-6                   2.0E-5                   3000                     5.3905405248486244E-5
5.0E-6                   2.0E-5                   4000                     6.180265840803652E-5
5.0E-6                   2.0E-5                   5000                     6.869513047205808E-5
5.0E-6                   2.0E-5                   6000                     7.488759563005647E-5
5.0E-6                   2.0E-5                   7000                     8.054838123547567E-5
5.0E-6                   2.0E-5                   8000                     8.578497712990735E-5
5.0E-6                   2.0E-5                   9000                     9.066820958362795E-5
5.0E-6                   2.0E-5                   10000                    9.524572517200591E-5
5.0E-6                   2.0E-5                   20000                    1.296428081471558E-4
5.0E-6                   2.0E-5                   30000                    1.4986479295786353E-4
5.0E-6                   2.0E-5                   40000                    1.611498980948254E-4
5.0E-6                   2.0E-5                   50000                    1.670440486777738E-4
5.0E-6                   2.0E-5                   60000                    1.7002341589057563E-4
5.0E-6                   2.0E-5                   70000                    1.7149016038922078E-4
5.0E-6                   2.0E-5                   80000                    1.722614621346322E-4
5.0E-6                   2.0E-5                   90000                    1.7271359511642956E-4
5.0E-6                   2.0E-5                   100000                   1.73007859431388E-4
5.0E-6                   2.0E-5                   110000                   1.7318793629429505E-4
5.0E-6                   2.0E-5                   120000                   1.7329663552230598E-4
5.0E-6                   2.0E-5                   130000                   1.7334716864046072E-4
5.0E-6                   2.0E-5                   140000                   1.733732710460264E-4
5.0E-6                   2.0E-5                   150000                   1.733739016510375E-4
5.0E-6                   2.0E-5                   160000                   1.7337313165566323E-4
5.0E-6                   2.0E-5                   170000                   1.7336456116494921E-4
5.0E-6                   2.0E-5                   180000                   1.733586083591694E-4
5.0E-6                   2.0E-5                   190000                   1.7335413731669344E-4
5.0E-6                   2.0E-5                   200000                   1.7335159363778276E-4
5.0E-6                   2.75E-5                  0                        0
5.0E-6                   2.75E-5                  0.1                      0
5.0E-6                   2.75E-5                  0.2                      0
5.0E-6                   2.75E-5                  0.30000000000000004      0
5.0E-6                   2.75E-5                  0.4                      0
5.0E-6                   2.75E-5                  0.5                      0
5.0E-6                   2.75E-5                  0.6000000000000001       0
5.0E-6                   2.75E-5                  0.7000000000000001       0
5.0E-6                   2.75E-5                  0.8                      0
5.0E-6                   2.75E-5                  0.9                      0
5.0E-6                   2.75E-5                  1                        1.1994064273332507E-6
5.0E-6                   2.75E-5                  1.1                      2.231021489795947E-6
5.0E-6                   2.75E-5                  1.2000000000000002       2.250411916372402E-6
5.0E-6                   2.75E-5                  1.3                      2.269706569056067E-6
5.0E-6                   2.75E-5                  1.4000000000000001       2.2888914510254887E-6
5.0E-6                   2.75E-5                  1.5                      2.3079946394855175E-6
5.0E-6                   2.75E-5                  1.6                      2.327030841464535E-6
5.0E-6                   2.75E-5                  1.7000000000000002       2.345890306557752E-6
5.0E-6                   2.75E-5                  1.8                      2.364681327765112E-6
5.0E-6                   2.75E-5                  1.9000000000000001       2.3834129859894555E-6
5.0E-6                   2.75E-5                  2                        2.4020853994396507E-6
5.0E-6                   2.75E-5                  5                        2.9269829963454203E-6
5.0E-6                   2.75E-5                  10                       3.6918024814099474E-6
5.0E-6                   2.75E-5                  100                      1.0903817050090375E-5
5.0E-6                   2.75E-5                  100                      1.0903817050090375E-5
5.0E-6                   2.75E-5                  200                      1.541017131302829E-5
5.0E-6                   2.75E-5                  300                      1.882729183387479E-5
5.0E-6                   2.75E-5                  400                      2.1692738715410465E-5
5.0E-6                   2.75E-5                  500                      2.4198475042447952E-5
5.0E-6                   2.75E-5                  600                      2.6457577695132434E-5
5.0E-6                   2.75E-5                  700                      2.8521798305547454E-5
5.0E-6                   2.75E-5                  800                      3.043379679836848E-5
5.0E-6                   2.75E-5                  900                      3.2220426231741416E-5
5.0E-6                   2.75E-5                  1000                     3.390309649630279E-5
5.0E-6                   2.75E-5                  2000                     4.7298999084229125E-5
5.0E-6                   2.75E-5                  3000                     5.73342889251262E-5
5.0E-6                   2.75E-5                  4000                     6.565628201337055E-5
5.0E-6                   2.75E-5                  5000                     7.287373125355718E-5
5.0E-6                   2.75E-5                  6000                     7.931384626384573E-5
5.0E-6                   2.75E-5                  7000                     8.515793488652163E-5
5.0E-6                   2.75E-5                  8000                     9.052327827850962E-5
5.0E-6                   2.75E-5                  9000                     9.548790813550651E-5
5.0E-6                   2.75E-5                  10000                    1.0010581689558043E-4
5.0E-6                   2.75E-5                  20000                    1.3358775350459252E-4
5.0E-6                   2.75E-5                  30000                    1.5212595289375617E-4
5.0E-6                   2.75E-5                  40000                    1.6199624956500492E-4
5.0E-6                   2.75E-5                  50000                    1.6700010897021024E-4
5.0E-6                   2.75E-5                  60000                    1.694305435179617E-4
5.0E-6                   2.75E-5                  70000                    1.7063839824051622E-4
5.0E-6                   2.75E-5                  80000                    1.7126922659140982E-4
5.0E-6                   2.75E-5                  90000                    1.7163490830865636E-4
5.0E-6                   2.75E-5                  100000                   1.7185306758817445E-4
5.0E-6                   2.75E-5                  110000                   1.7198097380322343E-4
5.0E-6                   2.75E-5                  120000                   1.7203825280597102E-4
5.0E-6                   2.75E-5                  130000                   1.7206321821072883E-4
5.0E-6                   2.75E-5                  140000                   1.720592457765001E-4
5.0E-6                   2.75E-5                  150000                   1.720546536799196E-4
5.0E-6                   2.75E-5                  160000                   1.720428254678545E-4
5.0E-6                   2.75E-5                  170000                   1.7203492780137644E-4
5.0E-6                   2.75E-5                  180000                   1.7202928334974618E-4
5.0E-6                   2.75E-5                  190000                   1.7202602669717042E-4
5.0E-6                   2.75E-5                  200000                   1.7202371131788758E-4
5.0E-6                   3.5000000000000004E-5    0                        0
5.0E-6                   3.5000000000000004E-5    0.1                      0
5.0E-6                   3.5000000000000004E-5    0.2                      0
5.0E-6                   3.5000000000000004E-5    0.30000000000000004      0
5.0E-6                   3.5000000000000004E-5    0.4                      0
5.0E-6                   3.5000000000000004E-5    0.5                      0
