% Model,C52_3D_base_unit_cell_recesses(edges)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 17:01"
% Table,Table 3 - Global Evaluation 2 (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,4.974999999999984E-13
5.0E-6,1.25E-5,0,4.937499999999983E-13
5.0E-6,2.0E-5,0,4.899999999999985E-13
5.0E-6,2.75E-5,0,4.862499999999986E-13
5.0E-6,3.5000000000000004E-5,0,4.824999999999982E-13
1.0E-5,5.0E-6,0,4.949999999999985E-13
1.0E-5,1.25E-5,0,4.874999999999987E-13
1.0E-5,2.0E-5,0,4.799999999999988E-13
1.0E-5,2.75E-5,0,4.724999999999989E-13
1.0E-5,3.5000000000000004E-5,0,4.649999999999987E-13
2.0E-5,5.0E-6,0,4.899999999999987E-13
2.0E-5,1.25E-5,0,4.749999999999987E-13
2.0E-5,2.0E-5,0,4.599999999999987E-13
2.0E-5,2.75E-5,0,4.4499999999999876E-13
2.0E-5,3.5000000000000004E-5,0,4.2999999999999903E-13
5.0E-5,5.0E-6,0,4.749999999999989E-13
5.0E-5,1.25E-5,0,4.374999999999987E-13
5.0E-5,2.0E-5,0,3.999999999999988E-13
5.0E-5,2.75E-5,0,3.62499999999999E-13
5.0E-5,3.5000000000000004E-5,0,3.24999999999999E-13
8.0E-5,5.0E-6,0,4.599999999999985E-13
8.0E-5,1.25E-5,0,3.999999999999989E-13
8.0E-5,2.0E-5,0,3.3999999999999896E-13
8.0E-5,2.75E-5,0,2.799999999999992E-13
8.0E-5,3.5000000000000004E-5,0,2.1999999999999964E-13
