% Model,C52_3D_base_unit_cell_recesses(square pillar) (2).mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 01:57"
% Table,Table 2 - Global Evaluation 3 (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0100000000000052E-8
5.0E-6,1.25E-5,0,1.0249999999999994E-8
5.0E-6,2.0E-5,0,1.0400000000000017E-8
5.0E-6,2.75E-5,0,1.0550000000000015E-8
5.0E-6,3.5000000000000004E-5,0,1.070000000000005E-8
1.0E-5,5.0E-6,0,1.0200000000000053E-8
1.0E-5,1.25E-5,0,1.049999999999991E-8
1.0E-5,2.0E-5,0,1.0800000000000045E-8
1.0E-5,2.75E-5,0,1.1100000000000041E-8
1.0E-5,3.5000000000000004E-5,0,1.1400000000000064E-8
2.0E-5,5.0E-6,0,1.0400000000000235E-8
2.0E-5,1.25E-5,0,1.1000000000000237E-8
2.0E-5,2.0E-5,0,1.1600000000000258E-8
2.0E-5,2.75E-5,0,1.2200000000000273E-8
2.0E-5,3.5000000000000004E-5,0,1.2800000000000197E-8
5.0E-5,5.0E-6,0,1.099999999999975E-8
5.0E-5,1.25E-5,0,1.2500000000000147E-8
5.0E-5,2.0E-5,0,1.3999999999999986E-8
5.0E-5,2.75E-5,0,1.5499999999999808E-8
5.0E-5,3.5000000000000004E-5,0,1.6999999999999917E-8
8.0E-5,5.0E-6,0,1.1600000000000048E-8
8.0E-5,1.25E-5,0,1.4000000000000023E-8
8.0E-5,2.0E-5,0,1.639999999999997E-8
8.0E-5,2.75E-5,0,1.8800000000000016E-8
8.0E-5,3.5000000000000004E-5,0,2.120000000000013E-8
