% Model,C52_3D_base_unit_cell_recesses(squarerecesses).mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 17:37"
% Table,Table 2 - Global Evaluation 2 (intopA(1))
% R_texture (m),H_texture (m),t (s),intopA(1) (m^2)
5.0E-6,5.0E-6,0,1.0049999999999971E-8
5.0E-6,1.25E-5,0,1.012499999999999E-8
5.0E-6,2.0E-5,0,1.0200000000000045E-8
5.0E-6,2.75E-5,0,1.0274999999999965E-8
5.0E-6,3.5000000000000004E-5,0,1.0350000000000076E-8
1.0E-5,5.0E-6,0,1.0100000000000004E-8
1.0E-5,1.25E-5,0,1.0249999999999936E-8
1.0E-5,2.0E-5,0,1.0399999999999989E-8
1.0E-5,2.75E-5,0,1.0549999999999999E-8
1.0E-5,3.5000000000000004E-5,0,1.0699999999999965E-8
2.0E-5,5.0E-6,0,1.0200000000000298E-8
2.0E-5,1.25E-5,0,1.0500000000000185E-8
2.0E-5,2.0E-5,0,1.0800000000000242E-8
2.0E-5,2.75E-5,0,1.110000000000026E-8
2.0E-5,3.5000000000000004E-5,0,1.1400000000000261E-8
5.0E-5,5.0E-6,0,1.0499999999999982E-8
5.0E-5,1.25E-5,0,1.1250000000000208E-8
5.0E-5,2.0E-5,0,1.1999999999999906E-8
5.0E-5,2.75E-5,0,1.2749999999999836E-8
5.0E-5,3.5000000000000004E-5,0,1.350000000000001E-8
8.0E-5,5.0E-6,0,1.0800000000000016E-8
8.0E-5,1.25E-5,0,1.1999999999999892E-8
8.0E-5,2.0E-5,0,1.32E-8
8.0E-5,2.75E-5,0,1.4399999999999997E-8
8.0E-5,3.5000000000000004E-5,0,1.5600000000000007E-8
