% Model,C52_3D_base_unit_cell_recesses(squarerecesses).mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 27 2026, 17:37"
% Table,Table 1 - Global Evaluation 1 (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
5.0E-6,5.0E-6,0,4.998749999999986E-13
5.0E-6,1.25E-5,0,4.99687499999999E-13
5.0E-6,2.0E-5,0,4.994999999999984E-13
5.0E-6,2.75E-5,0,4.993124999999985E-13
5.0E-6,3.5000000000000004E-5,0,4.991249999999987E-13
1.0E-5,5.0E-6,0,4.994999999999988E-13
1.0E-5,1.25E-5,0,4.987499999999985E-13
1.0E-5,2.0E-5,0,4.979999999999987E-13
1.0E-5,2.75E-5,0,4.972499999999985E-13
1.0E-5,3.5000000000000004E-5,0,4.964999999999987E-13
2.0E-5,5.0E-6,0,4.97999999999999E-13
2.0E-5,1.25E-5,0,4.949999999999985E-13
2.0E-5,2.0E-5,0,4.919999999999986E-13
2.0E-5,2.75E-5,0,4.889999999999987E-13
2.0E-5,3.5000000000000004E-5,0,4.859999999999987E-13
5.0E-5,5.0E-6,0,4.87499999999999E-13
5.0E-5,1.25E-5,0,4.687499999999985E-13
5.0E-5,2.0E-5,0,4.49999999999999E-13
5.0E-5,2.75E-5,0,4.3124999999999905E-13
5.0E-5,3.5000000000000004E-5,0,4.124999999999991E-13
8.0E-5,5.0E-6,0,4.679999999999985E-13
8.0E-5,1.25E-5,0,4.199999999999991E-13
8.0E-5,2.0E-5,0,3.71999999999999E-13
8.0E-5,2.75E-5,0,3.239999999999988E-13
8.0E-5,3.5000000000000004E-5,0,2.759999999999991E-13
