% Model:              C52_3D_base_model_only_film_unit_cell_v1 1.mph
% Version:            COMSOL 5.2.0.220
% Date:               Aug 10 2026, 00:44
% Dimension:          1
% Nodes:              62
% Expressions:        1
% Description:        Global
% x                       Height
0                         0
0.1                       0
0.2                       0
0.30000000000000004       0
0.4                       0
0.5                       0
0.6000000000000001        0
0.7000000000000001        0
0.8                       0
0.9                       0
1                         2.6590421451228527E-7
1.1                       5.447229144927918E-7
1.2000000000000002        5.910037232917126E-7
1.3                       6.354016956956433E-7
1.4000000000000001        6.785998747122661E-7
1.5                       7.202858429505847E-7
1.6                       7.610392659889335E-7
1.7000000000000002        8.003839038087067E-7
1.8                       8.390041947934495E-7
1.9000000000000001        8.765290254785418E-7
2                         9.130773224429679E-7
5                         1.7320586095128096E-6
10                        2.6041176100063887E-6
100                       8.63837321216695E-6
100                       8.63837321216695E-6
200                       1.2235901856914627E-5
300                       1.5003161186874278E-5
400                       1.7327572275295882E-5
500                       1.938208177923167E-5
600                       2.123636637289544E-5
700                       2.2939308907168415E-5
800                       2.4522240504778605E-5
900                       2.6008176343981046E-5
1000                      2.7415392329173917E-5
2000                      3.8778210767964375E-5
3000                      4.7505120125780864E-5
4000                      5.485986645309421E-5
5000                      6.134270792556772E-5
6000                      6.720485041971895E-5
7000                      7.259554554952929E-5
8000                      7.761031459546888E-5
9000                      8.231204892624387E-5
10000                     8.67564424374345E-5
20000                     1.2159761074366042E-4
30000                     1.440944896576135E-4
40000                     1.5820377215972748E-4
50000                     1.6664206876830796E-4
60000                     1.7145034840223024E-4
70000                     1.7407319937369034E-4
80000                     1.7559303730737232E-4
90000                     1.7633362573308151E-4
100000                    1.7661928448107277E-4
110000                    1.7672431504225518E-4
120000                    1.7677933948799515E-4
130000                    1.7680494205921465E-4
140000                    1.7683315267628597E-4
150000                    1.7684795772783933E-4
160000                    1.7686090772006877E-4
170000                    1.7686767651801545E-4
180000                    1.768735900940998E-4
190000                    1.7687668063643428E-4
200000                    1.7687938061417487E-4
