family,volume_type,R,H,SA,V,n_t500,n_t2000,n_t15000,n_near_eq,n_eq,n_eq_per_V,pct_eq_t15000,early_leadership_share,SA_V,L_c,n_t500_kg,n_t2000_kg,n_t15000_kg,n_near_eq_kg,n_eq_kg,n_eq_per_V_kg
cylinder_recessed,removed,5e-06,5e-06,1.0039270190066085e-08,4.999018269246509e-13,1.9443261450959495e-05,3.886824938026618e-05,0.00010426113723295271,0.00017687007088634248,0.00017687007088634248,353809610.92787063,58.947868743690044,0.0,20082.483498463553,4.979463820181935e-05,8.556979364567274e-07,1.7105916552255146e-06,4.588532649622249e-06,7.784051819707934e-06,7.784051819707934e-06,15571160.976935586
cylinder_recessed,removed,5e-06,1.25e-05,1.0098174542048017e-08,4.997545680661735e-13,1.95853608323289e-05,3.913094561136098e-05,0.00010467675744886925,0.00017682071857649844,0.00017682071857649844,353815112.2074091,59.19937340577125,0.0,20206.267610766285,4.948959497434256e-05,8.619517302307949e-07,1.7221529163559968e-06,4.606824095324736e-06,7.781879824551697e-06,7.781879824551697e-06,15571403.088248074
cylinder_recessed,removed,5e-06,2e-05,1.0157077901608699e-08,4.996073119214208e-13,1.9740124120465527e-05,3.9489473862666954e-05,0.0001053962536158866,0.0001767782403067245,0.0001767782403067245,353834373.69413143,59.62060343683454,0.0,20330.122596777015,4.9188094918745475e-05,8.687628625416879e-07,1.7379317446959727e-06,4.638489121635169e-06,7.780010355898946e-06,7.780010355898946e-06,15572250.786278725
cylinder_recessed,removed,5e-06,2.75e-05,1.021598218865857e-08,4.994600536346626e-13,1.9895954926263553e-05,3.9865680980626244e-05,0.00010633228203468242,0.00017665928567785127,0.00017665928567785127,353700529.9868712,60.190598884558874,0.0,20454.05255998951,4.88900669961177e-05,8.75620976304859e-07,1.7544886199573611e-06,4.679683732346373e-06,7.774775162682234e-06,7.774775162682234e-06,15566360.3247222
cylinder_recessed,removed,5e-06,3.5e-05,1.0274886426208024e-08,4.993127957484077e-13,2.005205630306432e-05,4.024810888765124e-05,0.00010734066544434213,0.00017661081159874378,0.00017661081159874378,353707762.1534336,60.7780828776315,0.0,20578.055506883717,4.8595456439773074e-05,8.824909978978607e-07,1.7713192721455312e-06,4.724062686205497e-06,7.772641818460715e-06,7.772641818460715e-06,15566678.612372614
cylinder_recessed,removed,1e-05,5e-06,1.0078539167486598e-08,4.996073077692905e-13,1.9481108365407273e-05,3.89265390910894e-05,0.00010432276593192182,0.00017672404514247503,0.00017672404514247503,353725901.1112843,59.031449765546476,0.0,20172.921834323297,4.957140111942268e-05,8.573635791615741e-07,1.7131569853988446e-06,4.5912449286638795e-06,7.777625226720327e-06,7.777625226720327e-06,15567476.907907624
cylinder_recessed,removed,1e-05,1.25e-05,1.0196348553999215e-08,4.990182653716055e-13,1.9733550648143926e-05,3.937369414371884e-05,0.00010504215563950386,0.00017655298910352352,0.00017655298910352352,353800654.91600645,59.496107187350646,0.0,20432.816314661886,4.894087944609155e-05,8.684735640248142e-07,1.7328362792650662e-06,4.622905269694565e-06,7.770097050446071e-06,7.770097050446071e-06,15570766.822853444
cylinder_recessed,removed,1e-05,2e-05,1.0314155598866983e-08,4.984292496835625e-13,2.0005774229984075e-05,3.995030035471914e-05,0.00010617011231754512,0.00017634629721248417,0.00017634629721248417,353804070.1352118,60.20546730823503,0.0,20693.319273327408,4.832477510212424e-05,8.804541238615992e-07,1.7582127186111893e-06,4.672546643095161e-06,7.761000540321428e-06,7.761000540321428e-06,15570917.126650672
cylinder_recessed,removed,1e-05,2.75e-05,1.0431963927363908e-08,4.978402183208805e-13,2.029273340026054e-05,4.056106716908156e-05,0.00010751370672915043,0.0001761364834320913,0.0001761364834320913,353801233.7094135,61.03999843428344,0.0,20954.44189412603,4.772257858513144e-05,8.930831969454664e-07,1.7850925661112796e-06,4.7316782331499105e-06,7.751766635846339e-06,7.751766635846339e-06,15570792.295551289
cylinder_recessed,removed,1e-05,3.5e-05,1.054977257665705e-08,4.972511847119902e-13,2.0560444135840172e-05,4.1177130702651524e-05,0.00010882510999330818,0.0001759262492305413,0.0001759262492305413,353797546.671384,61.85836989606882,0.0,21216.183894599504,4.713382976731014e-05,9.04865146418326e-07,1.8122055222236937e-06,4.789393090805493e-06,7.742514228636123e-06,7.742514228636123e-06,15570630.02900761
cylinder_recessed,removed,2e-05,5e-06,1.015707928899503e-08,4.984292117733733e-13,1.9567478529325703e-05,3.904312336086049e-05,0.00010446694811946259,0.00017630815517610875,0.00017630815517610875,353727572.56505436,59.25247644677229,0.0,20378.178182729123,4.90721001177386e-05,8.611647300756242e-07,1.7182878591114704e-06,4.597590386737548e-06,7.759321909300546e-06,7.759321909300546e-06,15567550.468588043
cylinder_recessed,removed,2e-05,1.25e-05,1.0392698476224122e-08,4.960730229852116e-13,2.0050772752758632e-05,3.984317172382014e-05,0.00010569648127438426,0.00017551253281114743,0.00017551253281114743,353803824.59616154,60.22161470834355,0.0,20949.936792942553,4.773284090942327e-05,8.824345088489074e-07,1.7534979875653244e-06,4.651702140885651e-06,7.724306569018599e-06,7.724306569018599e-06,15570906.32047707
cylinder_recessed,removed,2e-05,2e-05,1.062831706973537e-08,4.93716850751701e-13,2.055213094234268e-05,4.085371423450692e-05,0.00010749879800716818,0.00017467720820025064,0.00017467720820025064,353800377.5530419,61.54139919841811,0.0,21527.150741469304,4.645296593169796e-05,9.044992827725014e-07,1.7979719634606498e-06,4.731022100295472e-06,7.687543932893031e-06,7.687543932893031e-06,15570754.616109373
cylinder_recessed,removed,2e-05,2.75e-05,1.0863936011498371e-08,4.913606687730951e-13,2.1051646530593313e-05,4.192705391996551e-05,0.0001094344132507549,0.000173807428765329,0.000173807428765329,353726783.21876705,62.96302409404541,0.0,22109.901548744463,4.522860483097837e-05,9.264829638114117e-07,1.845209643017682e-06,4.8162085271657235e-06,7.64926493996213e-06,7.64926493996213e-06,15567515.729457937
cylinder_recessed,removed,2e-05,3.5e-05,1.109955469528828e-08,4.890044941931702e-13,2.1541338573301332e-05,4.2999506659090584e-05,0.00011094805887822305,0.00017300822890166276,0.00017300822890166276,353796807.5060671,64.1287755978853,0.0,22698.2672492651,4.405622636381537e-05,9.480343106109917e-07,1.8924082880665767e-06,4.882824071230597e-06,7.614092153962178e-06,7.614092153962178e-06,15570597.498342013
cylinder_recessed,removed,5e-05,5e-06,1.0392699061886389e-08,4.901825241141128e-13,1.9837111006014636e-05,3.93839314622151e-05,0.0001048078654720013,0.00017342638508770499,0.00017342638508770499,353799608.4236817,60.43363322080316,0.0,21201.69233015538,4.7166046201778435e-05,8.730312553747041e-07,1.7332868236520864e-06,4.612594159422777e-06,7.632495207709897e-06,7.632495207709897e-06,15570720.766726231
cylinder_recessed,removed,5e-05,1.25e-05,1.098174764516554e-08,4.754563108832295e-13,2.094927942454909e-05,4.1233814599662054e-05,0.00010726816178270059,0.000168186026803738,0.000168186026803738,353736027.7988695,63.77947313534879,0.0,23097.280220690183,4.329514083239184e-05,9.219777874744055e-07,1.814700180531127e-06,4.720871800056653e-06,7.40186703963251e-06,7.40186703963251e-06,15567922.583428247
cylinder_recessed,removed,5e-05,2e-05,1.1570796214391298e-08,4.60730098688861e-13,2.2124974595271853e-05,4.353235745640464e-05,0.00011026362181927834,0.0001630019996769608,0.0001630019996769608,353790646.93370265,67.64556388130208,0.0,25114.04452914906,3.981835736730228e-05,9.737201319379142e-07,1.9158590516563683e-06,4.85270199626644e-06,7.173718005783045e-06,7.173718005783045e-06,15570326.371552253
cylinder_recessed,removed,5e-05,2.75e-05,1.2159844813221448e-08,4.4600388478778003e-13,2.3315364178547087e-05,4.597803182633903e-05,0.00011219305883025023,0.00015778916324660073,0.00015778916324660073,353784279.9770249,71.1031458192787,0.0,27263.988561461545,3.667841914420143e-05,1.0261091774978573e-06,2.023493180677181e-06,4.9376165191193125e-06,6.944301074482899e-06,6.944301074482899e-06,15570046.161788866
cylinder_recessed,removed,5e-05,3.5e-05,1.2748893402809993e-08,4.312776714591679e-13,2.4504287910249645e-05,4.8342291115687714e-05,0.00011174136715816799,0.0001525804512416531,0.0001525804512416531,353787041.0156371,73.23439290476,0.0,29560.754582252983,3.382863577509478e-05,1.0784337109300869e-06,2.127544232001416e-06,4.917737568630973e-06,6.715065659145153e-06,6.715065659145153e-06,15570167.675098188
cylinder_recessed,removed,8e-05,5e-06,1.0628318495866587e-08,4.748672596693556e-13,2.0094737043272044e-05,3.973039384959872e-05,0.00010502016219243726,0.00016802702518121696,0.00016802702518121696,353839987.4066116,62.50194698095329,0.0,22381.661989640972,4.467943446124937e-05,8.843693772744027e-07,1.7485346333208398e-06,4.621937338089164e-06,7.394869378225358e-06,7.394869378225358e-06,15572497.845764978
cylinder_recessed,removed,8e-05,1.25e-05,1.157079630275452e-08,4.3716814914301487e-13,2.184111220026544e-05,4.26246029619732e-05,0.00010807204384440501,0.00015466348065851167,0.00015466348065851167,353784878.7970945,69.87560565963341,0.0,26467.610518828667,3.778202793518571e-05,9.61227347933682e-07,1.8759087763564405e-06,4.756250649592265e-06,6.806739783781099e-06,6.806739783781099e-06,15570072.515860131
cylinder_recessed,removed,8e-05,2e-05,1.2513274088818797e-08,3.994690384400384e-13,2.3715627794631943e-05,4.622353436654564e-05,0.00011048008925885152,0.00014131937283838697,0.00014131937283838697,353768025.1522158,78.17759663085732,0.0,31324.765838384443,3.192362251514837e-05,1.0437247792417517e-06,2.034297747471674e-06,4.862228728282055e-06,6.219465598617411e-06,6.219465598617411e-06,15569330.786949016
cylinder_recessed,removed,8e-05,2.75e-05,1.3455751876392262e-08,3.6176992749957435e-13,2.560595417856347e-05,5.0005677524257556e-05,0.00010903024170921595,0.00012798261761641876,0.00012798261761641876,353767983.15158284,85.19144532267214,0.0,37194.22443262118,2.6885894658498385e-05,1.1269180433985782e-06,2.200749867842575e-06,4.7984209376225935e-06,5.63251500129859e-06,5.63251500129859e-06,15569328.93850116
cylinder_recessed,removed,8e-05,3.5e-05,1.4398229660900831e-08,3.2407081680021435e-13,2.7462440771388086e-05,5.3580575782066074e-05,0.00010188401473240338,0.00011464602265402778,0.00011464602265402778,353768425.63613385,88.86833784008638,0.0,44429.269512956984,2.2507684932977983e-05,1.2086220183487897e-06,2.358081140168728e-06,4.483915488373073e-06,5.045571457003763e-06,5.045571457003763e-06,15569348.412246251
square_recessed,removed,5e-06,5e-06,1.0049999999999971e-08,4.998749999999986e-13,1.9462453499865483e-05,3.887696686896087e-05,0.00010425636499986237,0.0001768564420577372,0.0001768564420577372,353801334.4490877,58.94971299141394,0.0,20105.02625656414,4.973880597014926e-05,8.565425785290799e-07,1.710975311902968e-06,4.588322623643943e-06,7.783452014961014e-06,7.783452014961014e-06,15570796.72910435
square_recessed,removed,5e-06,1.25e-05,1.012499999999999e-08,4.99687499999999e-13,1.9620393646612992e-05,3.918992633777763e-05,0.00010475382573557252,0.00017679262852358262,0.00017679262852358262,353806386.03844,59.25237189490582,0.0,20262.664165103208,4.93518518518518e-05,8.634935243874378e-07,1.7247486581255935e-06,4.610215870622547e-06,7.780643581322871e-06,7.780643581322871e-06,15571019.049551744
square_recessed,removed,5e-06,2e-05,1.0200000000000045e-08,4.994999999999984e-13,1.981469513256924e-05,3.958258483946857e-05,0.00010554280407414391,0.0001767246375516074,0.0001767246375516074,353803078.1813973,59.721612977320795,0.0,20420.420420420574,4.897058823529375e-05,8.720447327843722e-07,1.7420295587850118e-06,4.6449388073030735e-06,7.777651298646242e-06,7.777651298646242e-06,15570873.470763296
