geometry,R,H,k,r2_early,t_cross,n_eq,t_fit_start,t_fit_window,fit_method,anchor_t,q_ratio_anchor,deviation_anchor,alpha_anchor
cone_recessed,5e-06,5e-06,8.674717053243859e-07,0.9994059942784649,40000.0,0.0001768864230116717,5,500,median_ratio,2000,1.0006102524394225,0.0006102524394224762,0.5001630447675853
cone_recessed,5e-06,1.25e-05,8.696498922642104e-07,0.9994635477181805,40000.0,0.00017691530459215674,5,500,median_ratio,2000,1.0002806995458757,0.0002806995458757289,0.4993946756898233
cone_recessed,5e-06,2e-05,8.735908084035412e-07,0.9994289861005319,40000.0,0.0001768519732019965,5,500,median_ratio,2000,1.000194465722389,0.00019446572238890347,0.49945656406280137
cone_recessed,5e-06,2.75e-05,8.773803090381818e-07,0.999503664381357,40000.0,0.00017680366924945426,5,500,median_ratio,2000,1.0009582615228472,0.0009582615228471703,0.5001432446016267
cone_recessed,5e-06,3.5000000000000004e-05,8.811620840934147e-07,0.9994661860474617,40000.0,0.00017681588636083887,5,500,median_ratio,2000,1.0022261766907528,0.002226176690752757,0.5006822372568716
cone_recessed,1e-05,5e-06,8.67684966611141e-07,0.9993730621927692,40000.0,0.00017685126875986167,5,500,median_ratio,2000,1.0005202443639951,0.0005202443639951149,0.5001523501561871
cone_recessed,1e-05,1.25e-05,8.70742143293514e-07,0.9994073071522983,40000.0,0.00017678074516159375,5,500,median_ratio,2000,0.9997837805978985,-0.00021621940210148072,0.499369882280709
cone_recessed,1e-05,2e-05,8.758644976056307e-07,0.999398364137549,40000.0,0.00017675541387362982,5,500,median_ratio,2000,0.999938488429024,-6.15115709760028e-05,0.4987721118095814
cone_recessed,1e-05,2.75e-05,8.816021278757498e-07,0.9993193526203263,40000.0,0.00017661151170426318,5,500,median_ratio,2000,1.000145456234011,0.00014545623401107655,0.4996441114640891
cone_recessed,1e-05,3.5000000000000004e-05,8.876379035211678e-07,0.9994558558408649,30000.0,0.00017654366496919766,5,500,median_ratio,2000,1.0010557574696293,0.0010557574696292704,0.5001938505887729
cone_recessed,2e-05,5e-06,8.677864254705593e-07,0.999399295832402,40000.0,0.00017671356453665145,5,500,median_ratio,2000,1.0003661700178876,0.0003661700178876348,0.5000611544640597
cone_recessed,2e-05,1.25e-05,8.715216349598234e-07,0.9993026367907093,40000.0,0.00017643625004573363,5,500,median_ratio,2000,0.9999329279247241,-6.707207527589798e-05,0.4997781182574733
cone_recessed,2e-05,2e-05,8.781593389956133e-07,0.9993500732031828,40000.0,0.00017612695580277048,5,500,median_ratio,2000,0.9996507231929599,-0.0003492768070401109,0.49929241228626203
cone_recessed,2e-05,2.75e-05,8.865319010869221e-07,0.9993638671159439,30000.0,0.00017585224674551887,5,500,median_ratio,2000,0.9993512679507206,-0.0006487320492793991,0.4988401813941389
cone_recessed,2e-05,3.5000000000000004e-05,8.955096807777499e-07,0.9994186170195138,30000.0,0.00017559907148978905,5,500,median_ratio,2000,1.0002239914769704,0.00022399147697038657,0.4993107682743598
cone_recessed,5e-05,5e-06,8.677184276218545e-07,0.9993669949545437,40000.0,0.00017574067569489714,5,500,median_ratio,2000,1.0004682648687684,0.0004682648687683866,0.5004054474896743
cone_recessed,5e-05,1.25e-05,8.719611688446652e-07,0.9993953505608142,40000.0,0.00017400356470935238,5,500,median_ratio,2000,1.0002746606191038,0.0002746606191037504,0.5001191828238122
cone_recessed,5e-05,2e-05,8.797788047661625e-07,0.9993672706050856,30000.0,0.0001722667035845933,5,500,median_ratio,2000,0.9998029374938511,-0.00019706250614892618,0.499871837266842
cone_recessed,5e-05,2.75e-05,8.905973772861782e-07,0.9993785694031556,30000.0,0.00017052815517304976,5,500,median_ratio,2000,0.9995274188583254,-0.0004725811416745884,0.49948691072847184
cone_recessed,5e-05,3.5000000000000004e-05,9.039751087140807e-07,0.999419341117369,30000.0,0.00016878906898478826,5,500,median_ratio,2000,0.9994392731101489,-0.0005607268898510931,0.4988548376470686
cone_recessed,8e-05,5e-06,8.677353493797097e-07,0.9993818574084289,40000.0,0.00017393511815031685,5,500,median_ratio,2000,1.0004861245383632,0.00048612453836316405,0.5004297216025987
cone_recessed,8e-05,1.25e-05,8.721192216234928e-07,0.9994272686758653,30000.0,0.00016948680505730806,5,500,median_ratio,2000,1.0002916940026372,0.00029169400263717726,0.5003058884343857
cone_recessed,8e-05,2e-05,8.800662446202767e-07,0.9992718881415299,30000.0,0.00016503815799171788,5,500,median_ratio,2000,1.0001213263535655,0.00012132635356554289,0.4996912379152162
cone_recessed,8e-05,2.75e-05,8.914479452076193e-07,0.9993935344252172,30000.0,0.0001605784762449247,5,500,median_ratio,2000,0.9999519994305178,-4.8000569482176125e-05,0.49943049877186085
cone_recessed,8e-05,3.5000000000000004e-05,9.062034433774317e-07,0.9993930239577566,20000.0,0.00015614418369249097,5,500,median_ratio,2000,0.9996546791509905,-0.00034532084900951165,0.4990295958794279
cylinder_recessed,5e-06,5e-06,8.695290861729324e-07,0.9994355456164327,40000.0,0.00017686511842864242,5,500,median_ratio,2000,0.99953008085349,-0.00046991914650995614,0.4994131453786664
cylinder_recessed,5e-06,1.25e-05,8.758839636989856e-07,0.9993560607806576,40000.0,0.00017681313546263227,5,500,median_ratio,2000,0.9989845463242332,-0.0010154536757668309,0.4986506876637305
cylinder_recessed,5e-06,2e-05,8.823972668091632e-07,0.9994512424546603,30000.0,0.00017676526676483427,5,500,median_ratio,2000,1.0006960727783107,0.0006960727783107412,0.4991707744031919
cylinder_recessed,5e-06,2.75e-05,8.891923230732724e-07,0.9995276960563522,30000.0,0.00017667271574681504,5,500,median_ratio,2000,1.0025094721229968,0.002509472122996792,0.5003509203887934
cylinder_recessed,5e-06,3.5000000000000004e-05,8.960035520327606e-07,0.999530560157156,30000.0,0.00017662287094699823,5,500,median_ratio,2000,1.004432485054602,0.004432485054602031,0.5018131326853622
cylinder_recessed,1e-05,5e-06,8.716435644779785e-07,0.9993393523376989,40000.0,0.00017673229456384757,5,500,median_ratio,2000,0.9986007019808365,-0.0013992980191634974,0.49908722665376126
cylinder_recessed,1e-05,1.25e-05,8.829732692041397e-07,0.9994024150826077,30000.0,0.00017655130517938862,5,500,median_ratio,2000,0.9971112342958788,-0.002888765704121221,0.4976094063349287
cylinder_recessed,1e-05,2e-05,8.949471124237081e-07,0.9994307786005837,30000.0,0.00017634341014454702,5,500,median_ratio,2000,0.998177278574115,-0.001822721425885021,0.4976819293026661
cylinder_recessed,1e-05,2.75e-05,9.068561456679458e-07,0.9993482000805127,30000.0,0.00017613372922441398,5,500,median_ratio,2000,1.0001288943484872,0.00012889434848717407,0.4991112825670236
cylinder_recessed,1e-05,3.5000000000000004e-05,9.186004706821584e-07,0.999429909164506,30000.0,0.00017592407399037865,5,500,median_ratio,2000,1.0023385172135513,0.002338517213551272,0.5005328399053673
cylinder_recessed,2e-05,5e-06,8.757460968252561e-07,0.9992511158435546,40000.0,0.00017631607997414125,5,500,median_ratio,2000,0.9968994233064143,-0.003100576693585655,0.49818757613749626
cylinder_recessed,2e-05,1.25e-05,8.969834697698559e-07,0.9992568475494037,30000.0,0.00017550967347871956,5,500,median_ratio,2000,0.993240604941339,-0.006759395058660966,0.4952982910987823
cylinder_recessed,2e-05,2e-05,9.190412925930633e-07,0.999285318130872,30000.0,0.00017467429886732473,5,500,median_ratio,2000,0.9939888762120866,-0.006011123787913353,0.4946693530177005
cylinder_recessed,2e-05,2.75e-05,9.411267833312359e-07,0.9993478702909019,30000.0,0.00017381579733350056,5,500,median_ratio,2000,0.9961648560196734,-0.003835143980326583,0.49567305631522646
cylinder_recessed,2e-05,3.5000000000000004e-05,9.63332423810957e-07,0.9993891363106249,20000.0,0.00017300315239505604,5,500,median_ratio,2000,0.9980959584886735,-0.0019040415113265041,0.49598441667342114
cylinder_recessed,5e-05,5e-06,8.89769658389944e-07,0.9992043118318924,30000.0,0.000173424496396278,5,500,median_ratio,2000,0.989752203172013,-0.010247796827987043,0.49563613759821884
cylinder_recessed,5e-05,1.25e-05,9.408419085587209e-07,0.9992327470096646,20000.0,0.00016819251131908208,5,500,median_ratio,2000,0.9799904912581074,-0.020009508741892557,0.4879143222968379
cylinder_recessed,5e-05,2e-05,9.92914474589625e-07,0.9992796755835133,10000.0,0.0001629973919723858,5,500,median_ratio,2000,0.9803594668470527,-0.019640533152947337,0.484925298856277
cylinder_recessed,5e-05,2.75e-05,1.0457408718615923e-06,0.9992493131274989,7000.0,0.00015778593941285658,5,500,median_ratio,2000,0.9831307870019845,-0.01686921299801547,0.4857402421260484
cylinder_recessed,5e-05,3.5000000000000004e-05,1.0981629449315192e-06,0.999215190119725,5000.0,0.00015257671317471037,5,500,median_ratio,2000,0.9843407084683843,-0.015659291531615716,0.4806696668359506
cylinder_recessed,8e-05,5e-06,9.042999838039974e-07,0.999149641380431,30000.0,0.0001680129161205648,5,500,median_ratio,2000,0.9824158245235345,-0.017584175476465513,0.4928626015432174
cylinder_recessed,8e-05,1.25e-05,9.858618551426875e-07,0.9989666831824137,5000.0,0.00015466013174122512,5,500,median_ratio,2000,0.9667836242950708,-0.03321637570492919,0.4804891124965545
cylinder_recessed,8e-05,2e-05,1.0694240807759317e-06,0.9990038086297853,4000.0,0.00014131946832572355,5,500,median_ratio,2000,0.9664918423091854,-0.03350815769081461,0.476497224812897
cylinder_recessed,8e-05,2.75e-05,1.1522781780850224e-06,0.9991333203860696,4000.0,0.0001279827118020018,5,500,median_ratio,2000,0.9703914934065754,-0.02960850659342462,0.47669442981847426
cylinder_recessed,8e-05,3.5000000000000004e-05,1.234512372559875e-06,0.9992003854810171,3000.0,0.00011464603442788613,5,500,median_ratio,2000,0.9705031102591708,-0.029496889740829202,0.46204665491346547
cylindrical_pillars,5e-06,5e-06,8.683729355088591e-07,0.9994555852081052,40000.0,0.00017693485372184093,5,500,median_ratio,2000,1.0000014791894445,1.4791894444865505e-06,0.4998815282292344
cylindrical_pillars,5e-06,1.25e-05,8.710890929097944e-07,0.9993667537750185,40000.0,0.000177026376242436,5,500,median_ratio,2000,0.9979053811831426,-0.002094618816857352,0.4987914537082458
cylindrical_pillars,5e-06,2e-05,8.747409967845209e-07,0.9992016919540884,40000.0,0.00017699823019786073,5,500,median_ratio,2000,0.9954364660877785,-0.004563533912221529,0.49829829530738246
cylindrical_pillars,5e-06,2.75e-05,8.791377668060568e-07,0.9990168384814266,30000.0,0.00017706648641011873,5,500,median_ratio,2000,0.9912991937106225,-0.008700806289377527,0.4974820468500635
cylindrical_pillars,5e-06,3.5000000000000004e-05,8.82983680087025e-07,0.9991302135918311,30000.0,0.00017713952109157057,5,500,median_ratio,2000,0.9883100858077447,-0.01168991419225529,0.49673175735569314
cylindrical_pillars,1e-05,5e-06,8.731306310356634e-07,0.9992878305989168,40000.0,0.00017699719435256562,5,500,median_ratio,2000,0.996448592778062,-0.00355140722193803,0.4986383613849647
cylindrical_pillars,1e-05,1.25e-05,8.867708631804217e-07,0.9991589262264307,30000.0,0.00017724636508973575,5,500,median_ratio,2000,0.986282226924067,-0.013717773075933026,0.4958676201049073
cylindrical_pillars,1e-05,2e-05,9.008844975514855e-07,0.9988090135582444,30000.0,0.00017745472769769666,5,500,median_ratio,2000,0.9759270179450054,-0.02407298205499464,0.4932373718820704
cylindrical_pillars,1e-05,2.75e-05,9.151590953165889e-07,0.9983193805740318,20000.0,0.00017766337552748316,5,500,median_ratio,2000,0.9658849728048348,-0.03411502719516524,0.49020316539040865
cylindrical_pillars,1e-05,3.5000000000000004e-05,9.293758033385036e-07,0.9977084351438228,4000.0,0.00017787169285085573,5,500,median_ratio,2000,0.9561488689322184,-0.0438511310677816,0.4873962818813008
cylindrical_pillars,2e-05,5e-06,8.84086622326183e-07,0.9992099482942335,30000.0,0.00017745452473848908,5,500,median_ratio,2000,0.9898707794915851,-0.010129220508414916,0.4960710217116792
cylindrical_pillars,2e-05,1.25e-05,9.213554982502232e-07,0.9989740504158159,20000.0,0.00017828930347829912,5,500,median_ratio,2000,0.9688044888496008,-0.031195511150399202,0.4866453409581111
cylindrical_pillars,2e-05,2e-05,9.594774257238744e-07,0.9984775906350652,2000.0,0.00017912147870595047,5,500,median_ratio,2000,0.9496351344013042,-0.050364865598695796,0.47648144795720804
cylindrical_pillars,2e-05,2.75e-05,9.976146031190171e-07,0.9981014430521432,2000.0,0.0001799555907228338,5,500,median_ratio,2000,0.931978271974764,-0.06802172802523598,0.46670375511015605
cylindrical_pillars,2e-05,3.5000000000000004e-05,1.0356981534102372e-06,0.9974754356562221,1000.0,0.00018075095352989036,5,500,median_ratio,2000,0.9157238477814043,-0.08427615221859575,0.4568924905969954
cylindrical_pillars,5e-05,5e-06,9.172281495369059e-07,0.9984001403951738,20000.0,0.000180328594408319,5,500,median_ratio,2000,0.9724579934430515,-0.027542006556948495,0.4892732332882292
cylindrical_pillars,5e-05,1.25e-05,1.0233031002045994e-06,0.9981783183478196,2000.0,0.00018558119061736614,5,500,median_ratio,2000,0.9400860555371193,-0.059913944462880675,0.4684524666848121
cylindrical_pillars,5e-05,2e-05,1.1315944614542585e-06,0.9976212701308903,2000.0,0.0001907493930863219,5,500,median_ratio,2000,0.9246689187826428,-0.07533108121735721,0.45258847163209853
cylindrical_pillars,5e-05,2.75e-05,1.2392883239084242e-06,0.9974194637023815,2000.0,0.00019607026858958816,5,500,median_ratio,2000,0.9162718434974423,-0.08372815650255772,0.44268808261717124
cylindrical_pillars,5e-05,3.5000000000000004e-05,1.3471271744899275e-06,0.9973144272755515,1000.0,0.0002012767294274851,5,500,median_ratio,2000,0.9090978590382633,-0.09090214096173665,0.4351066328897682
cylindrical_pillars,8e-05,5e-06,9.503992207625116e-07,0.9969357693945797,3000.0,0.00018574148859730076,5,500,median_ratio,2000,0.9559605248446761,-0.044039475155323915,0.48294194900953946
cylindrical_pillars,8e-05,1.25e-05,1.1257035733840473e-06,0.9971398802449853,1000.0,0.00019906577237357908,5,500,median_ratio,2000,0.9159392164221839,-0.0840607835778161,0.4533128120481311
cylindrical_pillars,8e-05,2e-05,1.3031563731377787e-06,0.9969028346641988,900.0,0.0002123979148792172,5,500,median_ratio,2000,0.9060479237352236,-0.09395207626477642,0.43886491336280936
cylindrical_pillars,8e-05,2.75e-05,1.4807151985700245e-06,0.9969561276932408,900.0,0.00022573098679270833,5,500,median_ratio,2000,0.9037042649906719,-0.09629573500932809,0.4331784758983169
cylindrical_pillars,8e-05,3.5000000000000004e-05,1.6578090675336365e-06,0.9972013778518116,900.0,0.00023911296032280805,5,500,median_ratio,2000,0.9041856178119931,-0.09581438218800686,0.4312538852411604
edges,5e-06,5e-06,8.809374453621869e-07,0.9994354612814366,30000.0,0.00017641723416512395,5,500,median_ratio,2000,0.9945373930997714,-0.005462606900228595,0.49691510261209304
