% Model:              C52_3D_base_unit_cell_recesses_v2.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 13 2026, 00:43
% Table:              Table 5 - Global Evaluation 2 (intopA(1))
% R_texture (m)          H_texture (m)            t (s)                    intopA(1) (m^2)
2.0E-5                   5.0E-6                   0                        9.842923218253953E-9
2.0E-5                   1.25E-5                  0                        1.0078540918752244E-8
2.0E-5                   2.0E-5                   0                        1.0314160817613958E-8
2.0E-5                   2.75E-5                  0                        1.0549779997242677E-8
2.0E-5                   3.5000000000000004E-5    0                        1.0785399158839227E-8
5.0E-5                   5.0E-6                   0                        8.429204149110675E-9
5.0E-5                   1.25E-5                  0                        9.018252627856354E-9
5.0E-5                   2.0E-5                   0                        9.607301310588615E-9
5.0E-5                   2.75E-5                  0                        1.0196349894232063E-8
5.0E-5                   3.5000000000000004E-5    0                        1.0785398496336675E-8
8.0E-5                   5.0E-6                   0                        5.601770515586866E-9
8.0E-5                   1.25E-5                  0                        6.544248260830343E-9
8.0E-5                   2.0E-5                   0                        7.48672607987242E-9
8.0E-5                   2.75E-5                  0                        8.429203867525714E-9
8.0E-5                   3.5000000000000004E-5    0                        9.371681651909085E-9
