% Model,C52_3D_base_unit_cell_recesses_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 13 2026, 00:45"
% Table,Table 1 - Global Evaluation 3 (intopV(1))
% R_texture (m),H_texture (m),t (s),intopV(1) (m^3)
2.0E-5,5.0E-6,0,4.984292090759801E-13
2.0E-5,1.25E-5,0,4.960730229852112E-13
2.0E-5,2.0E-5,0,4.937168519245536E-13
2.0E-5,2.75E-5,0,4.913606676891514E-13
2.0E-5,3.5000000000000004E-5,0,4.890044802955532E-13
5.0E-5,5.0E-6,0,4.901825240603632E-13
5.0E-5,1.25E-5,0,4.754563108813707E-13
5.0E-5,2.0E-5,0,4.607300983105E-13
5.0E-5,2.75E-5,0,4.460038851487924E-13
5.0E-5,3.5000000000000004E-5,0,4.3127767121914955E-13
8.0E-5,5.0E-6,0,4.748672592847511E-13
8.0E-5,1.25E-5,0,4.371681490847514E-13
8.0E-5,2.0E-5,0,3.9946903844001727E-13
8.0E-5,2.75E-5,0,3.617699274419008E-13
8.0E-5,3.5000000000000004E-5,0,3.240708168032375E-13
