% Model,C52_3D_base_unit_cell_recesses(cone)_v2.mph
% Version,COMSOL 5.2.0.220
% Date,"Jul 13 2026, 09:02"
% Table,Table 1 - Global Evaluation 1 (V_unit)
% H_cone (m),R_texture (m),t (s),Volume of each unit (m^3)
5.0E-6,2.0E-5,0,4.994764489835019E-13
5.0E-6,5.0E-5,0,4.967276026769625E-13
5.0E-6,8.0E-5,0,4.916224737179251E-13
1.25E-5,2.0E-5,0,4.986910813903065E-13
1.25E-5,5.0E-5,0,4.918189210769225E-13
1.25E-5,8.0E-5,0,4.790561868677272E-13
2.0E-5,2.0E-5,0,4.97905684570918E-13
2.0E-5,5.0E-5,0,4.869101542318487E-13
2.0E-5,8.0E-5,0,4.664898572592353E-13
2.75E-5,2.0E-5,0,4.971212837632197E-13
2.75E-5,5.0E-5,0,4.820014815011855E-13
2.75E-5,8.0E-5,0,4.5392346259520537E-13
3.5000000000000004E-5,2.0E-5,0,4.963349687256495E-13
3.5000000000000004E-5,5.0E-5,0,4.770927795108741E-13
3.5000000000000004E-5,8.0E-5,0,4.4135722321671317E-13
